STATION_ID,DUR_CODE,SENSOR_NUM,SENSOR_TYPE,ACTUAL_DATE,VALUE,DATA_FLAG,UNITS
BUL,H,76,INFLOW,20091231,0000,257, ,CFS
BUL,H,76,INFLOW,20091231,0100,158, ,CFS
BUL,H,76,INFLOW,20091231,0200,146, ,CFS
BUL,H,76,INFLOW,20091231,0300,261, ,CFS
BUL,H,76,INFLOW,20091231,0400,201, ,CFS
BUL,H,76,INFLOW,20091231,0500,273, ,CFS
BUL,H,76,INFLOW,20091231,0600,403, ,CFS
BUL,H,76,INFLOW,20091231,0700,233, ,CFS
BUL,H,76,INFLOW,20091231,0800,232, ,CFS
BUL,H,76,INFLOW,20091231,0900,321, ,CFS
BUL,H,76,INFLOW,20091231,1000,740, ,CFS
BUL,H,76,INFLOW,20091231,1100,186, ,CFS
BUL,H,76,INFLOW,20091231,1200,257, ,CFS
BUL,H,76,INFLOW,20091231,1300,379, ,CFS
BUL,H,76,INFLOW,20091231,1400,196, ,CFS
BUL,H,76,INFLOW,20091231,1500,201, ,CFS
BUL,H,76,INFLOW,20091231,1600,192, ,CFS
BUL,H,76,INFLOW,20091231,1700,607, ,CFS
BUL,H,76,INFLOW,20091231,1800,577, ,CFS
BUL,H,76,INFLOW,20091231,1900,605, ,CFS
BUL,H,76,INFLOW,20091231,2000,174, ,CFS
BUL,H,76,INFLOW,20091231,2100,499, ,CFS
BUL,H,76,INFLOW,20091231,2200,-58, ,CFS
BUL,H,76,INFLOW,20091231,2300,296, ,CFS
BUL,H,76,INFLOW,20100101,0000,105, ,CFS
BUL,H,76,INFLOW,20100101,0100,191, ,CFS
BUL,H,76,INFLOW,20100101,0200,146, ,CFS
BUL,H,76,INFLOW,20100101,0300,327, ,CFS
BUL,H,76,INFLOW,20100101,0400,398, ,CFS
BUL,H,76,INFLOW,20100101,0500,363, ,CFS
BUL,H,76,INFLOW,20100101,0600,659, ,CFS
BUL,H,76,INFLOW,20100101,0700,362, ,CFS
BUL,H,76,INFLOW,20100101,0800,250, ,CFS
BUL,H,76,INFLOW,20100101,0900,172, ,CFS
BUL,H,76,INFLOW,20100101,1000,293, ,CFS
BUL,H,76,INFLOW,20100101,1100,314, ,CFS
BUL,H,76,INFLOW,20100101,1200,280, ,CFS
BUL,H,76,INFLOW,20100101,1300,436, ,CFS
BUL,H,76,INFLOW,20100101,1400,442, ,CFS
BUL,H,76,INFLOW,20100101,1500,416, ,CFS
BUL,H,76,INFLOW,20100101,1600,437, ,CFS
BUL,H,76,INFLOW,20100101,1700,571, ,CFS
BUL,H,76,INFLOW,20100101,1800,374, ,CFS
BUL,H,76,INFLOW,20100101,1900,464, ,CFS
BUL,H,76,INFLOW,20100101,2000,437, ,CFS
BUL,H,76,INFLOW,20100101,2100,142, ,CFS
BUL,H,76,INFLOW,20100101,2200,374, ,CFS
BUL,H,76,INFLOW,20100101,2300,150, ,CFS
BUL,H,76,INFLOW,20100102,0000,223, ,CFS
BUL,H,76,INFLOW,20100102,0100,102, ,CFS
BUL,H,76,INFLOW,20100102,0200,266, ,CFS
BUL,H,76,INFLOW,20100102,0300,197, ,CFS
BUL,H,76,INFLOW,20100102,0400,629, ,CFS
BUL,H,76,INFLOW,20100102,0500,220, ,CFS
BUL,H,76,INFLOW,20100102,0600,457, ,CFS
BUL,H,76,INFLOW,20100102,0700,427, ,CFS
BUL,H,76,INFLOW,20100102,0800,253, ,CFS
BUL,H,76,INFLOW,20100102,0900,552, ,CFS
BUL,H,76,INFLOW,20100102,1000,230, ,CFS
BUL,H,76,INFLOW,20100102,1100,784, ,CFS
BUL,H,76,INFLOW,20100102,1200,309, ,CFS
BUL,H,76,INFLOW,20100102,1300,367, ,CFS
BUL,H,76,INFLOW,20100102,1400,259, ,CFS
BUL,H,76,INFLOW,20100102,1500,179, ,CFS
BUL,H,76,INFLOW,20100102,1600,233, ,CFS
BUL,H,76,INFLOW,20100102,1700,879, ,CFS
BUL,H,76,INFLOW,20100102,1800,993, ,CFS
BUL,H,76,INFLOW,20100102,1900,636, ,CFS
BUL,H,76,INFLOW,20100102,2000,671, ,CFS
BUL,H,76,INFLOW,20100102,2100,275, ,CFS
BUL,H,76,INFLOW,20100102,2200,332, ,CFS
BUL,H,76,INFLOW,20100102,2300,361, ,CFS
BUL,H,76,INFLOW,20100103,0000,176, ,CFS
BUL,H,76,INFLOW,20100103,0100,483, ,CFS
BUL,H,76,INFLOW,20100103,0200,334, ,CFS
BUL,H,76,INFLOW,20100103,0300,264, ,CFS
BUL,H,76,INFLOW,20100103,0400,191, ,CFS
BUL,H,76,INFLOW,20100103,0500,184, ,CFS
BUL,H,76,INFLOW,20100103,0600,245, ,CFS
BUL,H,76,INFLOW,20100103,0700,455, ,CFS
BUL,H,76,INFLOW,20100103,0800,224, ,CFS
BUL,H,76,INFLOW,20100103,0900,198, ,CFS
BUL,H,76,INFLOW,20100103,1000,130, ,CFS
BUL,H,76,INFLOW,20100103,1100,289, ,CFS
BUL,H,76,INFLOW,20100103,1200,412, ,CFS
BUL,H,76,INFLOW,20100103,1300,384, ,CFS
BUL,H,76,INFLOW,20100103,1400,346, ,CFS
BUL,H,76,INFLOW,20100103,1500,271, ,CFS
BUL,H,76,INFLOW,20100103,1600,633, ,CFS
BUL,H,76,INFLOW,20100103,1700,561, ,CFS
BUL,H,76,INFLOW,20100103,1800,1076, ,CFS
BUL,H,76,INFLOW,20100103,1900,511, ,CFS
BUL,H,76,INFLOW,20100103,2000,633, ,CFS
BUL,H,76,INFLOW,20100103,2100,-37, ,CFS
BUL,H,76,INFLOW,20100103,2200,363, ,CFS
BUL,H,76,INFLOW,20100103,2300,332, ,CFS
BUL,H,76,INFLOW,20100104,0000,381, ,CFS
BUL,H,76,INFLOW,20100104,0100,428, ,CFS
BUL,H,76,INFLOW,20100104,0200,188, ,CFS
BUL,H,76,INFLOW,20100104,0300,268, ,CFS
BUL,H,76,INFLOW,20100104,0400,505, ,CFS
BUL,H,76,INFLOW,20100104,0500,310, ,CFS
BUL,H,76,INFLOW,20100104,0600,434, ,CFS
BUL,H,76,INFLOW,20100104,0700,-174, ,CFS
BUL,H,76,INFLOW,20100104,0800,67, ,CFS
BUL,H,76,INFLOW,20100104,0900,0, ,CFS
BUL,H,76,INFLOW,20100104,1000,411, ,CFS
