date,SHA,FOL,NML,PNF
12/31/09 0:00,5754,882,980,1318
12/31/09 1:00,3900,743,980,1317
12/31/09 2:00,5979,730,17,905
12/31/09 3:00,244,1372,15,1714
12/31/09 4:00,4151,1373,1939,904
12/31/09 5:00,2412,303,978,916
12/31/09 6:00,1589,1795,979,1714
12/31/09 7:00,2368,1127,978,904
12/31/09 8:00,434,1064,-943,916
12/31/09 9:00,3982,1634,1015,2114
12/31/09 10:00,9259,635,982,1315
12/31/09 11:00,8432,1685,980,504
12/31/09 12:00,6673,1041,1942,1315
12/31/09 13:00,2923,1032,980,904
12/31/09 14:00,11169,902,20,1714
12/31/09 15:00,3196,911,1939,916
12/31/09 16:00,6778,1508,978,1714
12/31/09 17:00,3037,1059,303,904
12/31/09 18:00,5682,1140,822,916
12/31/09 19:00,9367,1253,949,1714
12/31/09 20:00,6787,1121,1837,1315
12/31/09 21:00,8721,842,-199,1315
12/31/09 22:00,6960,643,1631,1315
12/31/09 23:00,7218,925,2055,904
1/1/10 0:00,5906,869,20,---
1/1/10 1:00,4259,1369,1941,904
1/1/10 2:00,6008,735,18,916
1/1/10 3:00,3848,735,22,916
1/1/10 4:00,5609,736,1943,1315
1/1/10 5:00,5611,1369,984,105
1/1/10 6:00,7457,735,981,0
1/1/10 7:00,5191,1374,18,1726
1/1/10 8:00,7584,1374,1943,1714
1/1/10 9:00,14274,891,982,1315
1/1/10 10:00,15039,1430,1942,504
1/1/10 11:00,20180,1560,975,916
1/1/10 12:00,14129,868,975,1726
1/1/10 13:00,18552,914,14,904
1/1/10 14:00,17542,900,976,516
1/1/10 15:00,17457,891,976,2126
1/1/10 16:00,23201,1334,15,1714
1/1/10 17:00,15973,991,976,1315
1/1/10 18:00,14773,1165,1939,916
1/1/10 19:00,18929,698,1938,1316
1/1/10 20:00,20832,1310,1935,1317
1/1/10 21:00,18246,534,1937,1329
1/1/10 22:00,12168,1046,15,1317
1/1/10 23:00,22519,1066,977,1317
1/2/10 0:00,13364,861,-947,1728
1/2/10 1:00,19206,850,975,918
1/2/10 2:00,9572,737,978,1317
1/2/10 3:00,19219,738,978,506
1/2/10 4:00,7640,1371,1940,918
1/2/10 5:00,7648,1371,15,107
1/2/10 6:00,9708,1372,1937,518
1/2/10 7:00,7878,2055,16,918
1/2/10 8:00,11788,2096,978,1716
1/2/10 9:00,9435,1291,974,518
1/2/10 10:00,9545,1665,11,1728
1/2/10 11:00,10125,1753,1938,1317
1/2/10 12:00,15116,1117,975,918
1/2/10 13:00,10445,1119,14,1317
1/2/10 14:00,11458,1126,12,918
1/2/10 15:00,11442,1121,1934,1728
1/2/10 16:00,9685,1125,11,918
1/2/10 17:00,13039,1274,976,918
1/2/10 18:00,11135,2350,974,1728
1/2/10 19:00,11123,1133,971,918
1/2/10 20:00,11468,2434,974,1728
1/2/10 21:00,10628,1152,1935,918
1/2/10 22:00,13983,1065,1935,1728
1/2/10 23:00,11128,1838,974,918
1/3/10 0:00,13670,1035,973,1329
1/3/10 1:00,8373,868,973,918
1/3/10 2:00,8089,1377,974,1317
1/3/10 3:00,6255,745,15,930
1/3/10 4:00,6290,1377,974,506
1/3/10 5:00,8122,745,973,518
1/3/10 6:00,6283,1377,14,506
1/3/10 7:00,7530,748,976,918
1/3/10 8:00,6160,1379,975,1329
1/3/10 9:00,6572,1530,974,918
1/3/10 10:00,6341,850,12,918
1/3/10 11:00,5966,939,973,1329
1/3/10 12:00,6429,1567,976,1317
1/3/10 13:00,6385,923,973,1329
1/3/10 14:00,9515,1549,974,1329
1/3/10 15:00,5476,918,13,1329
1/3/10 16:00,10198,628,975,918
1/3/10 17:00,10143,1813,973,1329
1/3/10 18:00,10581,2027,1934,1317
1/3/10 19:00,10802,2020,974,1329
1/3/10 20:00,10566,2651,973,1740
1/3/10 21:00,10512,1194,973,506
1/3/10 22:00,10234,1704,975,1329
1/3/10 23:00,10347,1830,975,1329
1/4/10 0:00,9701,1673,975,918
1/4/10 1:00,6316,248,1939,1740
1/4/10 2:00,6157,1361,16,1329
1/4/10 3:00,4327,1361,975,506
1/4/10 4:00,2362,736,15,518
1/4/10 5:00,4495,1360,976,107
1/4/10 6:00,5198,737,14,1329
1/4/10 7:00,8677,1362,1940,918
1/4/10 8:00,8350,848,16,918
1/4/10 9:00,12381,1408,1939,1329
1/4/10 10:00,5227,963,17,518
1/4/10 11:00,8361,1683,978,1329
1/4/10 12:00,5705,335,978,1740
1/4/10 13:00,7313,938,978,506
1/4/10 14:00,4587,1565,17,1329
1/4/10 15:00,8112,942,978,930
1/4/10 16:00,3581,952,17,1329
1/4/10 17:00,8939,448,979,918
1/4/10 18:00,5398,834,977,2152
1/4/10 19:00,4025,1539,977,1329
1/4/10 20:00,7238,932,1944,1329
1/4/10 21:00,7260,910,979,518
1/4/10 22:00,2553,850,978,1728
1/4/10 23:00,7250,999,978,1341
1/5/10 0:00,7433,852,12,1329
1/5/10 1:00,6625,2607,976,3773
1/5/10 2:00,4330,2604,977,107
1/5/10 3:00,8261,3230,979,2152
1/5/10 4:00,4345,1981,979,930
1/5/10 5:00,6644,1982,978,918
