Sensor No,Sensor,PE Code,Description,Units
1,RIV STG,HGHZZZZ,RIVER STAGE,FEET
2,RAIN,PCHZZZZ,"PRECIPITATION, ACCUMULATED",INCHES
3,SNOW WC,SWHZZZZ,"SNOW, WATER CONTENT",INCHES
4,TEMP,TAHZZZZ,"TEMPERATURE, AIR",DEG F
5,EL CND,WCIZZZZ,ELECTRICAL CONDUCTIVTY MILLI S,mS/cm
6,RES ELE,HLHZZZZ,RESERVOIR ELEVATION,FEET
7,REL SCH,QZIZZZZ,"RESERVOIR, SCHEDULED RELEASE",CFS
8,FNF,QMIZZZZ,FULL NATURAL FLOW,CFS
9,WIND SP,USIZZZZ,"WIND, SPEED",MPH
10,WIND DR,UDIZZZZ,"WIND, DIRECTION",DEG
11,FUEL MS,MMIZZZZ,"FUEL MOISTURE, WOOD",%
12,REL HUM,XRIZZZZ,RELATIVE HUMIDITY,%
13,FUEL TP,MTIZZZZ,"FUEL TEMP,WOOD PROBE",DEG F
14,BAT VOL,VBIZZZZ,BATTERY VOLTAGE,VOLTS
15,STORAGE,LSHZZZZ,RESERVOIR STORAGE,AF
16,RAINTIP,PUIZZZZ,"PRECIPITATION, TIPPING BUCKET",INCHES
17,BAR PRE,PAIZZZZ,ATMOSPHERIC PRESSURE,INCHES
18,SNOW DP,SDIZZZZ,SNOW DEPTH,INCHES
19,SNOW LV,SLIZZZZ,"SNOW, ELEVATION OF SNOW LINE",FEET
20,FLOW,QRHZZZZ,"FLOW, RIVER DISCHARGE",CFS
21,VLOCITY,WVIZZZZ,"WATER, VELOCITY",FT/SEC
22,RES CHG,LCDZZZZ,"RESERVOIR, STORAGE CHANGE",AF
23,OUTFLOW,QTHZZZZ,RESERVOIR OUTFLOW,CFS
24,E T,ETDZZZZ,EVAPOTRANSPORATION,INCHES
25,TEMP W,TWIZZZZ,"TEMPERATURE, WATER",DEG F
26,SOLAR R,RIIZZZZ,SOLAR RADIATION,W/M^2
27,TURB W,WTIZZZZ,"WATER, TURBIDITY",NTU
28,CHLORPH,AAIZZZZ,CHLOROPHYLL,ug/L
29,NET RAD,RNIZZZZ,NET RADIATION,W/M^2
30,TEMP AV,TADAZZZ,"TEMPERATURE, AIR AVERAGE",DEG F
31,TEMP MX,TXDZZZZ,"TEMPERATURE, AIR MAXIMUM",DEG F
32,TEMP MN,TNDZZZZ,"TEMPERATURE, AIR MINIMUM",DEG F
33,VAPR AV,PVDAZZZ,"VAPOR PRESSURE, AVERAGE",INCHES
34,VAPR MX,PVIXZZZ,"VAPOR PRESSURE, MAXIMUM",INCHES
35,VAPR MN,PVINZZZ,"VAPOR PRESSURE, MINIMUM",INCHES
36,DEW PT,TDIZZZZ,"TEMPERATURE, DEW POINT",DEG F
37,DEW DUR,ADDZZZZ,DEW DURATION,HOURS
38,SOIL AV,TSDAZZZ,"TEMPERATURE, SOIL AVERAGE",DEG F
39,SOIL MX,TSIXZZZ,"TEMPERATURE, SOIL MAXIMUM",DEG F
40,SOIL MN,TSINZZZ,"TEMPERATURE, SOIL MINIMUM",DEG F
41,M FLOW,QRDAZZZ,"FLOW, MEAN DAILY",CFS
42,LAKE EL,HLIZZZZ,"ELEVATION, NATURAL LAKE",FEET
43,RES EL,HPIZZZZ,POOL ELEVATION,FEET
44,FREZ EL,HZIZZZZ,FREEZING LEVEL ELEVATION,FEET
45,PPT INC,PPIZZZZ,"PRECIPITATION, INCREMENTAL",INCHES
46,RUNOFF,QCIZZZZ,RUNOFF VOLUME,AF
47,ACCM WD,UCIZZZZ,"WIND, ACCUM WIND TRAVEL",MILES
48,DIS PWR,QGIZZZZ,"DISCHARGE, POWER GENERATION",CFS
49,DIR WTR,QOHZZZZ,FLOW DIRECTION,+ -
50,SNO INC,SPDZZZZ,"SNOW, ACT. INCREMENT",INCHES
51,SNOW DEN,SSIZZZZ,SNOW DENSITY,%
52,SOIL TP,TSIZZZZ,"TEMPERATURE, SNOW/SOIL SURFACE",DEG F
53,ICE STA,ISIZZZZ,ICE FAIL STATUS,.
54,ICE TRP,IXIZZZZ,ICE TIPS,TIPS
55,ENER TOT,VEIZZZZ,"GENERATION, ENERGY TOTAL",MWH
