STATION_ID,DUR_CODE,SENSOR_NUM,SENSOR_TYPE,ACTUAL_DATE,VALUE,DATA_FLAG,UNITS
FOL,H,76,INFLOW,20091231,0000,882, ,CFS
FOL,H,76,INFLOW,20091231,0100,743, ,CFS
FOL,H,76,INFLOW,20091231,0200,730, ,CFS
FOL,H,76,INFLOW,20091231,0300,1372, ,CFS
FOL,H,76,INFLOW,20091231,0400,1373, ,CFS
FOL,H,76,INFLOW,20091231,0500,303, ,CFS
FOL,H,76,INFLOW,20091231,0600,1795, ,CFS
FOL,H,76,INFLOW,20091231,0700,1127, ,CFS
FOL,H,76,INFLOW,20091231,0800,1064, ,CFS
FOL,H,76,INFLOW,20091231,0900,1634, ,CFS
FOL,H,76,INFLOW,20091231,1000,635, ,CFS
FOL,H,76,INFLOW,20091231,1100,1685, ,CFS
FOL,H,76,INFLOW,20091231,1200,1041, ,CFS
FOL,H,76,INFLOW,20091231,1300,1032, ,CFS
FOL,H,76,INFLOW,20091231,1400,902, ,CFS
FOL,H,76,INFLOW,20091231,1500,911, ,CFS
FOL,H,76,INFLOW,20091231,1600,1508, ,CFS
FOL,H,76,INFLOW,20091231,1700,1059, ,CFS
FOL,H,76,INFLOW,20091231,1800,1140, ,CFS
FOL,H,76,INFLOW,20091231,1900,1253, ,CFS
FOL,H,76,INFLOW,20091231,2000,1121, ,CFS
FOL,H,76,INFLOW,20091231,2100,842, ,CFS
FOL,H,76,INFLOW,20091231,2200,643, ,CFS
FOL,H,76,INFLOW,20091231,2300,925, ,CFS
FOL,H,76,INFLOW,20100101,0000,869, ,CFS
FOL,H,76,INFLOW,20100101,0100,1369, ,CFS
FOL,H,76,INFLOW,20100101,0200,735, ,CFS
FOL,H,76,INFLOW,20100101,0300,735, ,CFS
FOL,H,76,INFLOW,20100101,0400,736, ,CFS
FOL,H,76,INFLOW,20100101,0500,1369, ,CFS
FOL,H,76,INFLOW,20100101,0600,735, ,CFS
FOL,H,76,INFLOW,20100101,0700,1374, ,CFS
FOL,H,76,INFLOW,20100101,0800,1374, ,CFS
FOL,H,76,INFLOW,20100101,0900,891, ,CFS
FOL,H,76,INFLOW,20100101,1000,1430, ,CFS
FOL,H,76,INFLOW,20100101,1100,1560, ,CFS
FOL,H,76,INFLOW,20100101,1200,868, ,CFS
FOL,H,76,INFLOW,20100101,1300,914, ,CFS
FOL,H,76,INFLOW,20100101,1400,900, ,CFS
FOL,H,76,INFLOW,20100101,1500,891, ,CFS
FOL,H,76,INFLOW,20100101,1600,1334, ,CFS
FOL,H,76,INFLOW,20100101,1700,991, ,CFS
FOL,H,76,INFLOW,20100101,1800,1165, ,CFS
FOL,H,76,INFLOW,20100101,1900,698, ,CFS
FOL,H,76,INFLOW,20100101,2000,1310, ,CFS
FOL,H,76,INFLOW,20100101,2100,534, ,CFS
FOL,H,76,INFLOW,20100101,2200,1046, ,CFS
FOL,H,76,INFLOW,20100101,2300,1066, ,CFS
FOL,H,76,INFLOW,20100102,0000,861, ,CFS
FOL,H,76,INFLOW,20100102,0100,850, ,CFS
FOL,H,76,INFLOW,20100102,0200,737, ,CFS
FOL,H,76,INFLOW,20100102,0300,738, ,CFS
FOL,H,76,INFLOW,20100102,0400,1371, ,CFS
FOL,H,76,INFLOW,20100102,0500,1371, ,CFS
FOL,H,76,INFLOW,20100102,0600,1372, ,CFS
FOL,H,76,INFLOW,20100102,0700,2055, ,CFS
FOL,H,76,INFLOW,20100102,0800,2096, ,CFS
FOL,H,76,INFLOW,20100102,0900,1291, ,CFS
FOL,H,76,INFLOW,20100102,1000,1665, ,CFS
FOL,H,76,INFLOW,20100102,1100,1753, ,CFS
FOL,H,76,INFLOW,20100102,1200,1117, ,CFS
FOL,H,76,INFLOW,20100102,1300,1119, ,CFS
FOL,H,76,INFLOW,20100102,1400,1126, ,CFS
FOL,H,76,INFLOW,20100102,1500,1121, ,CFS
FOL,H,76,INFLOW,20100102,1600,1125, ,CFS
FOL,H,76,INFLOW,20100102,1700,1274, ,CFS
FOL,H,76,INFLOW,20100102,1800,2350, ,CFS
FOL,H,76,INFLOW,20100102,1900,1133, ,CFS
FOL,H,76,INFLOW,20100102,2000,2434, ,CFS
FOL,H,76,INFLOW,20100102,2100,1152, ,CFS
FOL,H,76,INFLOW,20100102,2200,1065, ,CFS
FOL,H,76,INFLOW,20100102,2300,1838, ,CFS
FOL,H,76,INFLOW,20100103,0000,1035, ,CFS
FOL,H,76,INFLOW,20100103,0100,868, ,CFS
FOL,H,76,INFLOW,20100103,0200,1377, ,CFS
FOL,H,76,INFLOW,20100103,0300,745, ,CFS
FOL,H,76,INFLOW,20100103,0400,1377, ,CFS
FOL,H,76,INFLOW,20100103,0500,745, ,CFS
FOL,H,76,INFLOW,20100103,0600,1377, ,CFS
FOL,H,76,INFLOW,20100103,0700,748, ,CFS
FOL,H,76,INFLOW,20100103,0800,1379, ,CFS
FOL,H,76,INFLOW,20100103,0900,1530, ,CFS
FOL,H,76,INFLOW,20100103,1000,850, ,CFS
FOL,H,76,INFLOW,20100103,1100,939, ,CFS
FOL,H,76,INFLOW,20100103,1200,1567, ,CFS
FOL,H,76,INFLOW,20100103,1300,923, ,CFS
FOL,H,76,INFLOW,20100103,1400,1549, ,CFS
FOL,H,76,INFLOW,20100103,1500,918, ,CFS
FOL,H,76,INFLOW,20100103,1600,628, ,CFS
FOL,H,76,INFLOW,20100103,1700,1813, ,CFS
FOL,H,76,INFLOW,20100103,1800,2027, ,CFS
FOL,H,76,INFLOW,20100103,1900,2020, ,CFS
FOL,H,76,INFLOW,20100103,2000,2651, ,CFS
FOL,H,76,INFLOW,20100103,2100,1194, ,CFS
FOL,H,76,INFLOW,20100103,2200,1704, ,CFS
FOL,H,76,INFLOW,20100103,2300,1830, ,CFS
FOL,H,76,INFLOW,20100104,0000,1673, ,CFS
FOL,H,76,INFLOW,20100104,0100,248, ,CFS
FOL,H,76,INFLOW,20100104,0200,1361, ,CFS
FOL,H,76,INFLOW,20100104,0300,1361, ,CFS
FOL,H,76,INFLOW,20100104,0400,736, ,CFS
FOL,H,76,INFLOW,20100104,0500,1360, ,CFS
FOL,H,76,INFLOW,20100104,0600,737, ,CFS
FOL,H,76,INFLOW,20100104,0700,1362, ,CFS
FOL,H,76,INFLOW,20100104,0800,848, ,CFS
FOL,H,76,INFLOW,20100104,0900,1408, ,CFS
FOL,H,76,INFLOW,20100104,1000,963, ,CFS
FOL,H,76,INFLOW,20100104,1100,1683, ,CFS
FOL,H,76,INFLOW,20100104,1200,335, ,CFS
FOL,H,76,INFLOW,20100104,1300,938, ,CFS
FOL,H,76,INFLOW,20100104,1400,1565, ,CFS
FOL,H,76,INFLOW,20100104,1500,942, ,CFS
FOL,H,76,INFLOW,20100104,1600,952, ,CFS
FOL,H,76,INFLOW,20100104,1700,448, ,CFS
FOL,H,76,INFLOW,20100104,1800,834, ,CFS
FOL,H,76,INFLOW,20100104,1900,1539, ,CFS
FOL,H,76,INFLOW,20100104,2000,932, ,CFS
FOL,H,76,INFLOW,20100104,2100,910, ,CFS
FOL,H,76,INFLOW,20100104,2200,850, ,CFS
FOL,H,76,INFLOW,20100104,2300,999, ,CFS
FOL,H,76,INFLOW,20100105,0000,852, ,CFS
FOL,H,76,INFLOW,20100105,0100,2607, ,CFS
FOL,H,76,INFLOW,20100105,0200,2604, ,CFS
FOL,H,76,INFLOW,20100105,0300,3230, ,CFS
FOL,H,76,INFLOW,20100105,0400,1981, ,CFS
FOL,H,76,INFLOW,20100105,0500,1982, ,CFS
FOL,H,76,INFLOW,20100105,0600,2607, ,CFS
FOL,H,76,INFLOW,20100105,0700,1984, ,CFS
FOL,H,76,INFLOW,20100105,0800,1981, ,CFS
FOL,H,76,INFLOW,20100105,0900,2118, ,CFS
FOL,H,76,INFLOW,20100105,1000,1736, ,CFS
FOL,H,76,INFLOW,20100105,1100,1285, ,CFS
FOL,H,76,INFLOW,20100105,1200,1297, ,CFS
FOL,H,76,INFLOW,20100105,1300,1289, ,CFS
FOL,H,76,INFLOW,20100105,1400,1529, ,CFS
FOL,H,76,INFLOW,20100105,1500,1539, ,CFS
FOL,H,76,INFLOW,20100105,1600,375, ,CFS
FOL,H,76,INFLOW,20100105,1700,1048, ,CFS
FOL,H,76,INFLOW,20100105,1800,1121, ,CFS
FOL,H,76,INFLOW,20100105,1900,488, ,CFS
FOL,H,76,INFLOW,20100105,2000,1108, ,CFS
FOL,H,76,INFLOW,20100105,2100,1038, ,CFS
FOL,H,76,INFLOW,20100105,2200,1077, ,CFS
FOL,H,76,INFLOW,20100105,2300,849, ,CFS
FOL,H,76,INFLOW,20100106,0000,226, ,CFS
FOL,H,76,INFLOW,20100106,0100,1341, ,CFS
FOL,H,76,INFLOW,20100106,0200,717, ,CFS
FOL,H,76,INFLOW,20100106,0300,716, ,CFS
FOL,H,76,INFLOW,20100106,0400,717, ,CFS
FOL,H,76,INFLOW,20100106,0500,1339, ,CFS
FOL,H,76,INFLOW,20100106,0600,767, ,CFS
FOL,H,76,INFLOW,20100106,0700,903, ,CFS
FOL,H,76,INFLOW,20100106,0800,1563, ,CFS
FOL,H,76,INFLOW,20100106,0900,1021, ,CFS
FOL,H,76,INFLOW,20100106,1000,1023, ,CFS
FOL,H,76,INFLOW,20100106,1100,1023, ,CFS
FOL,H,76,INFLOW,20100106,1200,1646, ,CFS
FOL,H,76,INFLOW,20100106,1300,397, ,CFS
FOL,H,76,INFLOW,20100106,1400,1020, ,CFS
FOL,H,76,INFLOW,20100106,1500,1028, ,CFS
FOL,H,76,INFLOW,20100106,1600,431, ,CFS
FOL,H,76,INFLOW,20100106,1700,1035, ,CFS
FOL,H,76,INFLOW,20100106,1800,1026, ,CFS
FOL,H,76,INFLOW,20100106,1900,1019, ,CFS
FOL,H,76,INFLOW,20100106,2000,571, ,CFS
FOL,H,76,INFLOW,20100106,2100,1196, ,CFS
FOL,H,76,INFLOW,20100106,2200,-49, ,CFS
FOL,H,76,INFLOW,20100106,2300,1039, ,CFS
FOL,H,76,INFLOW,20100107,0000,940, ,CFS
FOL,H,76,INFLOW,20100107,0100,847, ,CFS
FOL,H,76,INFLOW,20100107,0200,724, ,CFS
FOL,H,76,INFLOW,20100107,0300,724, ,CFS
FOL,H,76,INFLOW,20100107,0400,725, ,CFS
FOL,H,76,INFLOW,20100107,0500,1350, ,CFS
FOL,H,76,INFLOW,20100107,0600,876, ,CFS
FOL,H,76,INFLOW,20100107,0700,1370, ,CFS
FOL,H,76,INFLOW,20100107,0800,195, ,CFS
FOL,H,76,INFLOW,20100107,0900,815, ,CFS
FOL,H,76,INFLOW,20100107,1000,1441, ,CFS
FOL,H,76,INFLOW,20100107,1100,815, ,CFS
FOL,H,76,INFLOW,20100107,1200,1445, ,CFS
FOL,H,76,INFLOW,20100107,1300,809, ,CFS
FOL,H,76,INFLOW,20100107,1400,825, ,CFS
FOL,H,76,INFLOW,20100107,1500,824, ,CFS
FOL,H,76,INFLOW,20100107,1600,879, ,CFS
FOL,H,76,INFLOW,20100107,1700,401, ,CFS
FOL,H,76,INFLOW,20100107,1800,922, ,CFS
FOL,H,76,INFLOW,20100107,1900,960, ,CFS
FOL,H,76,INFLOW,20100107,2000,986, ,CFS
FOL,H,76,INFLOW,20100107,2100,1456, ,CFS
FOL,H,76,INFLOW,20100107,2200,237, ,CFS
FOL,H,76,INFLOW,20100107,2300,1401, ,CFS
FOL,H,76,INFLOW,20100108,0000,216, ,CFS
FOL,H,76,INFLOW,20100108,0100,721, ,CFS
FOL,H,76,INFLOW,20100108,0200,1335, ,CFS
FOL,H,76,INFLOW,20100108,0300,105, ,CFS
FOL,H,76,INFLOW,20100108,0400,1336, ,CFS
FOL,H,76,INFLOW,20100108,0500,1334, ,CFS
FOL,H,76,INFLOW,20100108,0600,260, ,CFS
FOL,H,76,INFLOW,20100108,0700,1372, ,CFS
FOL,H,76,INFLOW,20100108,0800,229, ,CFS
FOL,H,76,INFLOW,20100108,0900,1197, ,CFS
FOL,H,76,INFLOW,20100108,1000,1482, ,CFS
FOL,H,76,INFLOW,20100108,1100,849, ,CFS
FOL,H,76,INFLOW,20100108,1200,1468, ,CFS
FOL,H,76,INFLOW,20100108,1300,2077, ,CFS
FOL,H,76,INFLOW,20100108,1400,-384, ,CFS
FOL,H,76,INFLOW,20100108,1500,1457, ,CFS
FOL,H,76,INFLOW,20100108,1600,228, ,CFS
FOL,H,76,INFLOW,20100108,1700,849, ,CFS
FOL,H,76,INFLOW,20100108,1800,1544, ,CFS
FOL,H,76,INFLOW,20100108,1900,405, ,CFS
FOL,H,76,INFLOW,20100108,2000,1713, ,CFS
FOL,H,76,INFLOW,20100108,2100,1480, ,CFS
FOL,H,76,INFLOW,20100108,2200,377, ,CFS
FOL,H,76,INFLOW,20100108,2300,863, ,CFS
FOL,H,76,INFLOW,20100109,0000,1106, ,CFS
FOL,H,76,INFLOW,20100109,0100,214, ,CFS
FOL,H,76,INFLOW,20100109,0200,723, ,CFS
FOL,H,76,INFLOW,20100109,0300,1337, ,CFS
FOL,H,76,INFLOW,20100109,0400,720, ,CFS
FOL,H,76,INFLOW,20100109,0500,721, ,CFS
FOL,H,76,INFLOW,20100109,0600,1477, ,CFS
FOL,H,76,INFLOW,20100109,0700,743, ,CFS
FOL,H,76,INFLOW,20100109,0800,812, ,CFS
FOL,H,76,INFLOW,20100109,0900,1430, ,CFS
FOL,H,76,INFLOW,20100109,1000,201, ,CFS
FOL,H,76,INFLOW,20100109,1100,1431, ,CFS
FOL,H,76,INFLOW,20100109,1200,1422, ,CFS
FOL,H,76,INFLOW,20100109,1300,816, ,CFS
FOL,H,76,INFLOW,20100109,1400,814, ,CFS
FOL,H,76,INFLOW,20100109,1500,817, ,CFS
FOL,H,76,INFLOW,20100109,1600,1435, ,CFS
FOL,H,76,INFLOW,20100109,1700,829, ,CFS
FOL,H,76,INFLOW,20100109,1800,2049, ,CFS
FOL,H,76,INFLOW,20100109,1900,1430, ,CFS
FOL,H,76,INFLOW,20100109,2000,2830, ,CFS
FOL,H,76,INFLOW,20100109,2100,1428, ,CFS
FOL,H,76,INFLOW,20100109,2200,1425, ,CFS
FOL,H,76,INFLOW,20100109,2300,1369, ,CFS
FOL,H,76,INFLOW,20100110,0000,1447, ,CFS
FOL,H,76,INFLOW,20100110,0100,728, ,CFS
FOL,H,76,INFLOW,20100110,0200,1344, ,CFS
