STATION_ID,DUR_CODE,SENSOR_NUM,SENSOR_TYPE,ACTUAL_DATE,VALUE,DATA_FLAG,UNITS
KES,H,76,INFLOW,20091231,0000,3998, ,CFS
KES,H,76,INFLOW,20091231,0100,2350, ,CFS
KES,H,76,INFLOW,20091231,0200,2441, ,CFS
KES,H,76,INFLOW,20091231,0300,2419, ,CFS
KES,H,76,INFLOW,20091231,0400,2530, ,CFS
KES,H,76,INFLOW,20091231,0500,2524, ,CFS
KES,H,76,INFLOW,20091231,0600,3495, ,CFS
KES,H,76,INFLOW,20091231,0700,2750, ,CFS
KES,H,76,INFLOW,20091231,0800,2682, ,CFS
KES,H,76,INFLOW,20091231,0900,2323, ,CFS
KES,H,76,INFLOW,20091231,1000,3416, ,CFS
KES,H,76,INFLOW,20091231,1100,2984, ,CFS
KES,H,76,INFLOW,20091231,1200,3209, ,CFS
KES,H,76,INFLOW,20091231,1300,3116, ,CFS
KES,H,76,INFLOW,20091231,1400,3641, ,CFS
KES,H,76,INFLOW,20091231,1500,3357, ,CFS
KES,H,76,INFLOW,20091231,1600,3339, ,CFS
KES,H,76,INFLOW,20091231,1700,3329, ,CFS
KES,H,76,INFLOW,20091231,1800,3847, ,CFS
KES,H,76,INFLOW,20091231,1900,3837, ,CFS
KES,H,76,INFLOW,20091231,2000,3305, ,CFS
KES,H,76,INFLOW,20091231,2100,3178, ,CFS
KES,H,76,INFLOW,20091231,2200,3316, ,CFS
KES,H,76,INFLOW,20091231,2300,3499, ,CFS
KES,H,76,INFLOW,20100101,0000,4011, ,CFS
KES,H,76,INFLOW,20100101,0100,2889, ,CFS
KES,H,76,INFLOW,20100101,0200,2914, ,CFS
KES,H,76,INFLOW,20100101,0300,2680, ,CFS
KES,H,76,INFLOW,20100101,0400,2467, ,CFS
KES,H,76,INFLOW,20100101,0500,2452, ,CFS
KES,H,76,INFLOW,20100101,0600,2495, ,CFS
KES,H,76,INFLOW,20100101,0700,2232, ,CFS
KES,H,76,INFLOW,20100101,0800,2693, ,CFS
KES,H,76,INFLOW,20100101,0900,3440, ,CFS
