STATION_ID,DUR_CODE,SENSOR_NUM,SENSOR_TYPE,ACTUAL_DATE,VALUE,DATA_FLAG,UNITS
NAT,H,76,INFLOW,20091231,0000,358, ,CFS
NAT,H,76,INFLOW,20091231,0100,324, ,CFS
NAT,H,76,INFLOW,20091231,0200,241, ,CFS
NAT,H,76,INFLOW,20091231,0300,329, ,CFS
NAT,H,76,INFLOW,20091231,0400,267, ,CFS
NAT,H,76,INFLOW,20091231,0500,309, ,CFS
NAT,H,76,INFLOW,20091231,0600,1581, ,CFS
NAT,H,76,INFLOW,20091231,0700,2150, ,CFS
NAT,H,76,INFLOW,20091231,0800,2062, ,CFS
NAT,H,76,INFLOW,20091231,0900,2088, ,CFS
NAT,H,76,INFLOW,20091231,1000,2015, ,CFS
NAT,H,76,INFLOW,20091231,1100,2121, ,CFS
NAT,H,76,INFLOW,20091231,1200,2124, ,CFS
NAT,H,76,INFLOW,20091231,1300,2026, ,CFS
NAT,H,76,INFLOW,20091231,1400,2122, ,CFS
NAT,H,76,INFLOW,20091231,1500,2068, ,CFS
NAT,H,76,INFLOW,20091231,1600,2012, ,CFS
NAT,H,76,INFLOW,20091231,1700,1957, ,CFS
NAT,H,76,INFLOW,20091231,1800,2764, ,CFS
NAT,H,76,INFLOW,20091231,1900,3749, ,CFS
NAT,H,76,INFLOW,20091231,2000,3729, ,CFS
NAT,H,76,INFLOW,20091231,2100,3739, ,CFS
NAT,H,76,INFLOW,20091231,2200,4696, ,CFS
NAT,H,76,INFLOW,20091231,2300,3228, ,CFS
NAT,H,76,INFLOW,20100101,0000,661, ,CFS
NAT,H,76,INFLOW,20100101,0100,93, ,CFS
NAT,H,76,INFLOW,20100101,0200,273, ,CFS
NAT,H,76,INFLOW,20100101,0300,262, ,CFS
NAT,H,76,INFLOW,20100101,0400,154, ,CFS
NAT,H,76,INFLOW,20100101,0500,396, ,CFS
NAT,H,76,INFLOW,20100101,0600,239, ,CFS
NAT,H,76,INFLOW,20100101,0700,283, ,CFS
NAT,H,76,INFLOW,20100101,0800,307, ,CFS
NAT,H,76,INFLOW,20100101,0900,378, ,CFS
NAT,H,76,INFLOW,20100101,1000,1540, ,CFS
NAT,H,76,INFLOW,20100101,1100,2103, ,CFS
NAT,H,76,INFLOW,20100101,1200,1930, ,CFS
