STATION_ID,DUR_CODE,SENSOR_NUM,SENSOR_TYPE,ACTUAL_DATE,VALUE,DATA_FLAG,UNITS
NML,H,76,INFLOW,20091231,0000,980, ,CFS
NML,H,76,INFLOW,20091231,0100,980, ,CFS
NML,H,76,INFLOW,20091231,0200,17, ,CFS
NML,H,76,INFLOW,20091231,0300,15, ,CFS
NML,H,76,INFLOW,20091231,0400,1939, ,CFS
NML,H,76,INFLOW,20091231,0500,978, ,CFS
NML,H,76,INFLOW,20091231,0600,979, ,CFS
NML,H,76,INFLOW,20091231,0700,978, ,CFS
NML,H,76,INFLOW,20091231,0800,-943, ,CFS
NML,H,76,INFLOW,20091231,0900,1015, ,CFS
NML,H,76,INFLOW,20091231,1000,982, ,CFS
NML,H,76,INFLOW,20091231,1100,980, ,CFS
NML,H,76,INFLOW,20091231,1200,1942, ,CFS
NML,H,76,INFLOW,20091231,1300,980, ,CFS
NML,H,76,INFLOW,20091231,1400,20, ,CFS
NML,H,76,INFLOW,20091231,1500,1939, ,CFS
NML,H,76,INFLOW,20091231,1600,978, ,CFS
NML,H,76,INFLOW,20091231,1700,303, ,CFS
NML,H,76,INFLOW,20091231,1800,822, ,CFS
NML,H,76,INFLOW,20091231,1900,949, ,CFS
NML,H,76,INFLOW,20091231,2000,1837, ,CFS
NML,H,76,INFLOW,20091231,2100,-199, ,CFS
NML,H,76,INFLOW,20091231,2200,1631, ,CFS
NML,H,76,INFLOW,20091231,2300,2055, ,CFS
NML,H,76,INFLOW,20100101,0000,20, ,CFS
NML,H,76,INFLOW,20100101,0100,1941, ,CFS
NML,H,76,INFLOW,20100101,0200,18, ,CFS
NML,H,76,INFLOW,20100101,0300,22, ,CFS
NML,H,76,INFLOW,20100101,0400,1943, ,CFS
NML,H,76,INFLOW,20100101,0500,984, ,CFS
NML,H,76,INFLOW,20100101,0600,981, ,CFS
NML,H,76,INFLOW,20100101,0700,18, ,CFS
NML,H,76,INFLOW,20100101,0800,1943, ,CFS
NML,H,76,INFLOW,20100101,0900,982, ,CFS
NML,H,76,INFLOW,20100101,1000,1942, ,CFS
NML,H,76,INFLOW,20100101,1100,975, ,CFS
NML,H,76,INFLOW,20100101,1200,975, ,CFS
NML,H,76,INFLOW,20100101,1300,14, ,CFS
NML,H,76,INFLOW,20100101,1400,976, ,CFS
NML,H,76,INFLOW,20100101,1500,976, ,CFS
NML,H,76,INFLOW,20100101,1600,15, ,CFS
NML,H,76,INFLOW,20100101,1700,976, ,CFS
NML,H,76,INFLOW,20100101,1800,1939, ,CFS
NML,H,76,INFLOW,20100101,1900,1938, ,CFS
NML,H,76,INFLOW,20100101,2000,1935, ,CFS
NML,H,76,INFLOW,20100101,2100,1937, ,CFS
NML,H,76,INFLOW,20100101,2200,15, ,CFS
NML,H,76,INFLOW,20100101,2300,977, ,CFS
NML,H,76,INFLOW,20100102,0000,-947, ,CFS
