STATION_ID,DUR_CODE,SENSOR_NUM,SENSOR_TYPE,ACTUAL_DATE,VALUE,DATA_FLAG,UNITS
ORO,H,76,INFLOW,20091231,0000,605, ,CFS
ORO,H,76,INFLOW,20091231,0100,968, ,CFS
ORO,H,76,INFLOW,20091231,0200,1719, ,CFS
ORO,H,76,INFLOW,20091231,0300,2174, ,CFS
ORO,H,76,INFLOW,20091231,0400,2120, ,CFS
ORO,H,76,INFLOW,20091231,0500,1654, ,CFS
ORO,H,76,INFLOW,20091231,0600,2112, ,CFS
ORO,H,76,INFLOW,20091231,0700,1718, ,CFS
ORO,H,76,INFLOW,20091231,0800,2393, ,CFS
ORO,H,76,INFLOW,20091231,0900,2256, ,CFS
ORO,H,76,INFLOW,20091231,1000,1868, ,CFS
ORO,H,76,INFLOW,20091231,1100,1467, ,CFS
ORO,H,76,INFLOW,20091231,1200,1052, ,CFS
ORO,H,76,INFLOW,20091231,1300,1926, ,CFS
ORO,H,76,INFLOW,20091231,1400,1921, ,CFS
ORO,H,76,INFLOW,20091231,1500,1218, ,CFS
ORO,H,76,INFLOW,20091231,1600,902, ,CFS
ORO,H,76,INFLOW,20091231,1700,-6276, ,CFS
ORO,H,76,INFLOW,20091231,1800,-6491, ,CFS
ORO,H,76,INFLOW,20091231,1900,2308, ,CFS
ORO,H,76,INFLOW,20091231,2000,9372, ,CFS
ORO,H,76,INFLOW,20091231,2100,8955, ,CFS
ORO,H,76,INFLOW,20091231,2200,1262, ,CFS
ORO,H,76,INFLOW,20091231,2300,1651, ,CFS
ORO,H,76,INFLOW,20100101,0000,---, ,CFS
ORO,H,76,INFLOW,20100101,0100,1347, ,CFS
ORO,H,76,INFLOW,20100101,0200,1707, ,CFS
ORO,H,76,INFLOW,20100101,0300,2104, ,CFS
ORO,H,76,INFLOW,20100101,0400,1704, ,CFS
ORO,H,76,INFLOW,20100101,0500,1718, ,CFS
ORO,H,76,INFLOW,20100101,0600,2130, ,CFS
ORO,H,76,INFLOW,20100101,0700,1715, ,CFS
ORO,H,76,INFLOW,20100101,0800,1718, ,CFS
ORO,H,76,INFLOW,20100101,0900,1724, ,CFS
ORO,H,76,INFLOW,20100101,1000,1307, ,CFS
ORO,H,76,INFLOW,20100101,1100,1301, ,CFS
ORO,H,76,INFLOW,20100101,1200,1327, ,CFS
ORO,H,76,INFLOW,20100101,1300,1728, ,CFS
ORO,H,76,INFLOW,20100101,1400,1308, ,CFS
ORO,H,76,INFLOW,20100101,1500,920, ,CFS
ORO,H,76,INFLOW,20100101,1600,1329, ,CFS
ORO,H,76,INFLOW,20100101,1700,-6434, ,CFS
ORO,H,76,INFLOW,20100101,1800,-5257, ,CFS
ORO,H,76,INFLOW,20100101,1900,-1006, ,CFS
ORO,H,76,INFLOW,20100101,2000,9653, ,CFS
ORO,H,76,INFLOW,20100101,2100,1596, ,CFS
ORO,H,76,INFLOW,20100101,2200,1014, ,CFS
ORO,H,76,INFLOW,20100101,2300,4035, ,CFS
ORO,H,76,INFLOW,20100102,0000,3253, ,CFS
ORO,H,76,INFLOW,20100102,0100,552, ,CFS
ORO,H,76,INFLOW,20100102,0200,1332, ,CFS
ORO,H,76,INFLOW,20100102,0300,1729, ,CFS
ORO,H,76,INFLOW,20100102,0400,1762, ,CFS
ORO,H,76,INFLOW,20100102,0500,2174, ,CFS
ORO,H,76,INFLOW,20100102,0600,2067, ,CFS
ORO,H,76,INFLOW,20100102,0700,2928, ,CFS
ORO,H,76,INFLOW,20100102,0800,2510, ,CFS
ORO,H,76,INFLOW,20100102,0900,2114, ,CFS
ORO,H,76,INFLOW,20100102,1000,2525, ,CFS
ORO,H,76,INFLOW,20100102,1100,2517, ,CFS
ORO,H,76,INFLOW,20100102,1200,2111, ,CFS
ORO,H,76,INFLOW,20100102,1300,1709, ,CFS
ORO,H,76,INFLOW,20100102,1400,2135, ,CFS
ORO,H,76,INFLOW,20100102,1500,1731, ,CFS
ORO,H,76,INFLOW,20100102,1600,913, ,CFS
ORO,H,76,INFLOW,20100102,1700,1197, ,CFS
ORO,H,76,INFLOW,20100102,1800,-6369, ,CFS
ORO,H,76,INFLOW,20100102,1900,3715, ,CFS
ORO,H,76,INFLOW,20100102,2000,9608, ,CFS
ORO,H,76,INFLOW,20100102,2100,1806, ,CFS
ORO,H,76,INFLOW,20100102,2200,2385, ,CFS
ORO,H,76,INFLOW,20100102,2300,1974, ,CFS
ORO,H,76,INFLOW,20100103,0000,1893, ,CFS
ORO,H,76,INFLOW,20100103,0100,1741, ,CFS
ORO,H,76,INFLOW,20100103,0200,2509, ,CFS
ORO,H,76,INFLOW,20100103,0300,2104, ,CFS
ORO,H,76,INFLOW,20100103,0400,1728, ,CFS
ORO,H,76,INFLOW,20100103,0500,1332, ,CFS
ORO,H,76,INFLOW,20100103,0600,2105, ,CFS
ORO,H,76,INFLOW,20100103,0700,2118, ,CFS
ORO,H,76,INFLOW,20100103,0800,1331, ,CFS
ORO,H,76,INFLOW,20100103,0900,1322, ,CFS
ORO,H,76,INFLOW,20100103,1000,1719, ,CFS
ORO,H,76,INFLOW,20100103,1100,1307, ,CFS
ORO,H,76,INFLOW,20100103,1200,1315, ,CFS
ORO,H,76,INFLOW,20100103,1300,1305, ,CFS
ORO,H,76,INFLOW,20100103,1400,1383, ,CFS
ORO,H,76,INFLOW,20100103,1500,1330, ,CFS
ORO,H,76,INFLOW,20100103,1600,457, ,CFS
ORO,H,76,INFLOW,20100103,1700,3104, ,CFS
ORO,H,76,INFLOW,20100103,1800,-4162, ,CFS
ORO,H,76,INFLOW,20100103,1900,2280, ,CFS
ORO,H,76,INFLOW,20100103,2000,9246, ,CFS
ORO,H,76,INFLOW,20100103,2100,-5354, ,CFS
ORO,H,76,INFLOW,20100103,2200,-343, ,CFS
ORO,H,76,INFLOW,20100103,2300,1523, ,CFS
ORO,H,76,INFLOW,20100104,0000,812, ,CFS
ORO,H,76,INFLOW,20100104,0100,1352, ,CFS
ORO,H,76,INFLOW,20100104,0200,2119, ,CFS
ORO,H,76,INFLOW,20100104,0300,2516, ,CFS
ORO,H,76,INFLOW,20100104,0400,2522, ,CFS
ORO,H,76,INFLOW,20100104,0500,2119, ,CFS
ORO,H,76,INFLOW,20100104,0600,2118, ,CFS
ORO,H,76,INFLOW,20100104,0700,2085, ,CFS
ORO,H,76,INFLOW,20100104,0800,1788, ,CFS
ORO,H,76,INFLOW,20100104,0900,2342, ,CFS
ORO,H,76,INFLOW,20100104,1000,2060, ,CFS
ORO,H,76,INFLOW,20100104,1100,1410, ,CFS
ORO,H,76,INFLOW,20100104,1200,485, ,CFS
ORO,H,76,INFLOW,20100104,1300,693, ,CFS
ORO,H,76,INFLOW,20100104,1400,725, ,CFS
ORO,H,76,INFLOW,20100104,1500,1661, ,CFS
ORO,H,76,INFLOW,20100104,1600,907, ,CFS
ORO,H,76,INFLOW,20100104,1700,390, ,CFS
ORO,H,76,INFLOW,20100104,1800,1326, ,CFS
ORO,H,76,INFLOW,20100104,1900,1213, ,CFS
ORO,H,76,INFLOW,20100104,2000,2821, ,CFS
ORO,H,76,INFLOW,20100104,2100,3127, ,CFS
ORO,H,76,INFLOW,20100104,2200,-473, ,CFS
ORO,H,76,INFLOW,20100104,2300,1662, ,CFS
ORO,H,76,INFLOW,20100105,0000,185, ,CFS
ORO,H,76,INFLOW,20100105,0100,8563, ,CFS
ORO,H,76,INFLOW,20100105,0200,8931, ,CFS
ORO,H,76,INFLOW,20100105,0300,504, ,CFS
ORO,H,76,INFLOW,20100105,0400,441, ,CFS
ORO,H,76,INFLOW,20100105,0500,1322, ,CFS
ORO,H,76,INFLOW,20100105,0600,2120, ,CFS
ORO,H,76,INFLOW,20100105,0700,2382, ,CFS
ORO,H,76,INFLOW,20100105,0800,-5520, ,CFS
ORO,H,76,INFLOW,20100105,0900,-5350, ,CFS
ORO,H,76,INFLOW,20100105,1000,1942, ,CFS
ORO,H,76,INFLOW,20100105,1100,424, ,CFS
ORO,H,76,INFLOW,20100105,1200,-776, ,CFS
ORO,H,76,INFLOW,20100105,1300,-402, ,CFS
ORO,H,76,INFLOW,20100105,1400,1288, ,CFS
ORO,H,76,INFLOW,20100105,1500,569, ,CFS
ORO,H,76,INFLOW,20100105,1600,-1158, ,CFS
ORO,H,76,INFLOW,20100105,1700,612, ,CFS
ORO,H,76,INFLOW,20100105,1800,2545, ,CFS
ORO,H,76,INFLOW,20100105,1900,2889, ,CFS
