STATION_ID,DUR_CODE,SENSOR_NUM,SENSOR_TYPE,ACTUAL_DATE,VALUE,DATA_FLAG,UNITS
PNF,H,76,INFLOW,20091231,0000,1318, ,CFS
PNF,H,76,INFLOW,20091231,0100,1317, ,CFS
PNF,H,76,INFLOW,20091231,0200,905, ,CFS
PNF,H,76,INFLOW,20091231,0300,1714, ,CFS
PNF,H,76,INFLOW,20091231,0400,904, ,CFS
PNF,H,76,INFLOW,20091231,0500,916, ,CFS
PNF,H,76,INFLOW,20091231,0600,1714, ,CFS
PNF,H,76,INFLOW,20091231,0700,904, ,CFS
PNF,H,76,INFLOW,20091231,0800,916, ,CFS
PNF,H,76,INFLOW,20091231,0900,2114, ,CFS
PNF,H,76,INFLOW,20091231,1000,1315, ,CFS
PNF,H,76,INFLOW,20091231,1100,504, ,CFS
PNF,H,76,INFLOW,20091231,1200,1315, ,CFS
PNF,H,76,INFLOW,20091231,1300,904, ,CFS
PNF,H,76,INFLOW,20091231,1400,1714, ,CFS
PNF,H,76,INFLOW,20091231,1500,916, ,CFS
PNF,H,76,INFLOW,20091231,1600,1714, ,CFS
PNF,H,76,INFLOW,20091231,1700,904, ,CFS
PNF,H,76,INFLOW,20091231,1800,916, ,CFS
PNF,H,76,INFLOW,20091231,1900,1714, ,CFS
PNF,H,76,INFLOW,20091231,2000,1315, ,CFS
PNF,H,76,INFLOW,20091231,2100,1315, ,CFS
PNF,H,76,INFLOW,20091231,2200,1315, ,CFS
PNF,H,76,INFLOW,20091231,2300,904, ,CFS
PNF,H,76,INFLOW,20100101,0000,---, ,CFS
PNF,H,76,INFLOW,20100101,0100,904, ,CFS
PNF,H,76,INFLOW,20100101,0200,916, ,CFS
PNF,H,76,INFLOW,20100101,0300,916, ,CFS
PNF,H,76,INFLOW,20100101,0400,1315, ,CFS
PNF,H,76,INFLOW,20100101,0500,105, ,CFS
PNF,H,76,INFLOW,20100101,0600,0, ,CFS
PNF,H,76,INFLOW,20100101,0700,1726, ,CFS
PNF,H,76,INFLOW,20100101,0800,1714, ,CFS
PNF,H,76,INFLOW,20100101,0900,1315, ,CFS
PNF,H,76,INFLOW,20100101,1000,504, ,CFS
PNF,H,76,INFLOW,20100101,1100,916, ,CFS
PNF,H,76,INFLOW,20100101,1200,1726, ,CFS
PNF,H,76,INFLOW,20100101,1300,904, ,CFS
PNF,H,76,INFLOW,20100101,1400,516, ,CFS
PNF,H,76,INFLOW,20100101,1500,2126, ,CFS
PNF,H,76,INFLOW,20100101,1600,1714, ,CFS
PNF,H,76,INFLOW,20100101,1700,1315, ,CFS
PNF,H,76,INFLOW,20100101,1800,916, ,CFS
PNF,H,76,INFLOW,20100101,1900,1316, ,CFS
PNF,H,76,INFLOW,20100101,2000,1317, ,CFS
PNF,H,76,INFLOW,20100101,2100,1329, ,CFS
PNF,H,76,INFLOW,20100101,2200,1317, ,CFS
PNF,H,76,INFLOW,20100101,2300,1317, ,CFS
PNF,H,76,INFLOW,20100102,0000,1728, ,CFS
PNF,H,76,INFLOW,20100102,0100,918, ,CFS
PNF,H,76,INFLOW,20100102,0200,1317, ,CFS
PNF,H,76,INFLOW,20100102,0300,506, ,CFS
PNF,H,76,INFLOW,20100102,0400,918, ,CFS
PNF,H,76,INFLOW,20100102,0500,107, ,CFS
PNF,H,76,INFLOW,20100102,0600,518, ,CFS
PNF,H,76,INFLOW,20100102,0700,918, ,CFS
PNF,H,76,INFLOW,20100102,0800,1716, ,CFS
PNF,H,76,INFLOW,20100102,0900,518, ,CFS
PNF,H,76,INFLOW,20100102,1000,1728, ,CFS
PNF,H,76,INFLOW,20100102,1100,1317, ,CFS
PNF,H,76,INFLOW,20100102,1200,918, ,CFS
PNF,H,76,INFLOW,20100102,1300,1317, ,CFS
PNF,H,76,INFLOW,20100102,1400,918, ,CFS
PNF,H,76,INFLOW,20100102,1500,1728, ,CFS
PNF,H,76,INFLOW,20100102,1600,918, ,CFS
PNF,H,76,INFLOW,20100102,1700,918, ,CFS
PNF,H,76,INFLOW,20100102,1800,1728, ,CFS
PNF,H,76,INFLOW,20100102,1900,918, ,CFS
PNF,H,76,INFLOW,20100102,2000,1728, ,CFS
PNF,H,76,INFLOW,20100102,2100,918, ,CFS
PNF,H,76,INFLOW,20100102,2200,1728, ,CFS
PNF,H,76,INFLOW,20100102,2300,918, ,CFS
PNF,H,76,INFLOW,20100103,0000,1329, ,CFS
PNF,H,76,INFLOW,20100103,0100,918, ,CFS
PNF,H,76,INFLOW,20100103,0200,1317, ,CFS
PNF,H,76,INFLOW,20100103,0300,930, ,CFS
PNF,H,76,INFLOW,20100103,0400,506, ,CFS
PNF,H,76,INFLOW,20100103,0500,518, ,CFS
PNF,H,76,INFLOW,20100103,0600,506, ,CFS
PNF,H,76,INFLOW,20100103,0700,918, ,CFS
PNF,H,76,INFLOW,20100103,0800,1329, ,CFS
PNF,H,76,INFLOW,20100103,0900,918, ,CFS
PNF,H,76,INFLOW,20100103,1000,918, ,CFS
PNF,H,76,INFLOW,20100103,1100,1329, ,CFS
PNF,H,76,INFLOW,20100103,1200,1317, ,CFS
PNF,H,76,INFLOW,20100103,1300,1329, ,CFS
PNF,H,76,INFLOW,20100103,1400,1329, ,CFS
PNF,H,76,INFLOW,20100103,1500,1329, ,CFS
PNF,H,76,INFLOW,20100103,1600,918, ,CFS
PNF,H,76,INFLOW,20100103,1700,1329, ,CFS
PNF,H,76,INFLOW,20100103,1800,1317, ,CFS
PNF,H,76,INFLOW,20100103,1900,1329, ,CFS
PNF,H,76,INFLOW,20100103,2000,1740, ,CFS
PNF,H,76,INFLOW,20100103,2100,506, ,CFS
PNF,H,76,INFLOW,20100103,2200,1329, ,CFS
PNF,H,76,INFLOW,20100103,2300,1329, ,CFS
PNF,H,76,INFLOW,20100104,0000,918, ,CFS
PNF,H,76,INFLOW,20100104,0100,1740, ,CFS
PNF,H,76,INFLOW,20100104,0200,1329, ,CFS
PNF,H,76,INFLOW,20100104,0300,506, ,CFS
PNF,H,76,INFLOW,20100104,0400,518, ,CFS
PNF,H,76,INFLOW,20100104,0500,107, ,CFS
PNF,H,76,INFLOW,20100104,0600,1329, ,CFS
PNF,H,76,INFLOW,20100104,0700,918, ,CFS
PNF,H,76,INFLOW,20100104,0800,918, ,CFS
PNF,H,76,INFLOW,20100104,0900,1329, ,CFS
PNF,H,76,INFLOW,20100104,1000,518, ,CFS
PNF,H,76,INFLOW,20100104,1100,1329, ,CFS
PNF,H,76,INFLOW,20100104,1200,1740, ,CFS
PNF,H,76,INFLOW,20100104,1300,506, ,CFS
PNF,H,76,INFLOW,20100104,1400,1329, ,CFS
PNF,H,76,INFLOW,20100104,1500,930, ,CFS
PNF,H,76,INFLOW,20100104,1600,1329, ,CFS
PNF,H,76,INFLOW,20100104,1700,918, ,CFS
PNF,H,76,INFLOW,20100104,1800,2152, ,CFS
PNF,H,76,INFLOW,20100104,1900,1329, ,CFS
PNF,H,76,INFLOW,20100104,2000,1329, ,CFS
PNF,H,76,INFLOW,20100104,2100,518, ,CFS
PNF,H,76,INFLOW,20100104,2200,1728, ,CFS
PNF,H,76,INFLOW,20100104,2300,1341, ,CFS
PNF,H,76,INFLOW,20100105,0000,1329, ,CFS
PNF,H,76,INFLOW,20100105,0100,3773, ,CFS
PNF,H,76,INFLOW,20100105,0200,107, ,CFS
PNF,H,76,INFLOW,20100105,0300,2152, ,CFS
PNF,H,76,INFLOW,20100105,0400,930, ,CFS
PNF,H,76,INFLOW,20100105,0500,918, ,CFS
PNF,H,76,INFLOW,20100105,0600,1329, ,CFS
PNF,H,76,INFLOW,20100105,0700,930, ,CFS
PNF,H,76,INFLOW,20100105,0800,1329, ,CFS
PNF,H,76,INFLOW,20100105,0900,520, ,CFS
PNF,H,76,INFLOW,20100105,1000,1756, ,CFS
PNF,H,76,INFLOW,20100105,1100,938, ,CFS
PNF,H,76,INFLOW,20100105,1200,917, ,CFS
PNF,H,76,INFLOW,20100105,1300,1338, ,CFS
PNF,H,76,INFLOW,20100105,1400,1326, ,CFS
PNF,H,76,INFLOW,20100105,1500,927, ,CFS
PNF,H,76,INFLOW,20100105,1600,916, ,CFS
PNF,H,76,INFLOW,20100105,1700,1341, ,CFS
PNF,H,76,INFLOW,20100105,1800,1329, ,CFS
PNF,H,76,INFLOW,20100105,1900,930, ,CFS
PNF,H,76,INFLOW,20100105,2000,1741, ,CFS
PNF,H,76,INFLOW,20100105,2100,1342, ,CFS
PNF,H,76,INFLOW,20100105,2200,1330, ,CFS
PNF,H,76,INFLOW,20100105,2300,931, ,CFS
PNF,H,76,INFLOW,20100106,0000,1330, ,CFS
PNF,H,76,INFLOW,20100106,0100,1342, ,CFS
PNF,H,76,INFLOW,20100106,0200,919, ,CFS
PNF,H,76,INFLOW,20100106,0300,931, ,CFS
PNF,H,76,INFLOW,20100106,0400,931, ,CFS
PNF,H,76,INFLOW,20100106,0500,1330, ,CFS
PNF,H,76,INFLOW,20100106,0600,931, ,CFS
PNF,H,76,INFLOW,20100106,0700,931, ,CFS
PNF,H,76,INFLOW,20100106,0800,931, ,CFS
PNF,H,76,INFLOW,20100106,0900,1330, ,CFS
PNF,H,76,INFLOW,20100106,1000,931, ,CFS
PNF,H,76,INFLOW,20100106,1100,1342, ,CFS
PNF,H,76,INFLOW,20100106,1200,1330, ,CFS
PNF,H,76,INFLOW,20100106,1300,1342, ,CFS
PNF,H,76,INFLOW,20100106,1400,931, ,CFS
PNF,H,76,INFLOW,20100106,1500,1330, ,CFS
PNF,H,76,INFLOW,20100106,1600,1342, ,CFS
PNF,H,76,INFLOW,20100106,1700,1342, ,CFS
PNF,H,76,INFLOW,20100106,1800,1342, ,CFS
PNF,H,76,INFLOW,20100106,1900,108, ,CFS
PNF,H,76,INFLOW,20100106,2000,1340, ,CFS
PNF,H,76,INFLOW,20100106,2100,2147, ,CFS
PNF,H,76,INFLOW,20100106,2200,924, ,CFS
PNF,H,76,INFLOW,20100106,2300,1335, ,CFS
PNF,H,76,INFLOW,20100107,0000,1335, ,CFS
PNF,H,76,INFLOW,20100107,0100,101, ,CFS
PNF,H,76,INFLOW,20100107,0200,---, ,CFS
PNF,H,76,INFLOW,20100107,0300,1335, ,CFS
PNF,H,76,INFLOW,20100107,0400,1335, ,CFS
PNF,H,76,INFLOW,20100107,0500,101, ,CFS
PNF,H,76,INFLOW,20100107,0600,1335, ,CFS
PNF,H,76,INFLOW,20100107,0700,1335, ,CFS
PNF,H,76,INFLOW,20100107,0800,924, ,CFS
PNF,H,76,INFLOW,20100107,0900,1335, ,CFS
PNF,H,76,INFLOW,20100107,1000,1335, ,CFS
PNF,H,76,INFLOW,20100107,1100,924, ,CFS
PNF,H,76,INFLOW,20100107,1200,1335, ,CFS
PNF,H,76,INFLOW,20100107,1300,924, ,CFS
PNF,H,76,INFLOW,20100107,1400,511, ,CFS
PNF,H,76,INFLOW,20100107,1500,2157, ,CFS
PNF,H,76,INFLOW,20100107,1600,924, ,CFS
PNF,H,76,INFLOW,20100107,1700,2158, ,CFS
PNF,H,76,INFLOW,20100107,1800,924, ,CFS
PNF,H,76,INFLOW,20100107,1900,924, ,CFS
PNF,H,76,INFLOW,20100107,2000,1747, ,CFS
PNF,H,76,INFLOW,20100107,2100,1747, ,CFS
PNF,H,76,INFLOW,20100107,2200,936, ,CFS
PNF,H,76,INFLOW,20100107,2300,1335, ,CFS
PNF,H,76,INFLOW,20100108,0000,924, ,CFS
PNF,H,76,INFLOW,20100108,0100,924, ,CFS
PNF,H,76,INFLOW,20100108,0200,1336, ,CFS
PNF,H,76,INFLOW,20100108,0300,513, ,CFS
PNF,H,76,INFLOW,20100108,0400,102, ,CFS
PNF,H,76,INFLOW,20100108,0500,925, ,CFS
PNF,H,76,INFLOW,20100108,0600,102, ,CFS
PNF,H,76,INFLOW,20100108,0700,937, ,CFS
PNF,H,76,INFLOW,20100108,0800,925, ,CFS
PNF,H,76,INFLOW,20100108,0900,1336, ,CFS
PNF,H,76,INFLOW,20100108,1000,925, ,CFS
PNF,H,76,INFLOW,20100108,1100,2171, ,CFS
PNF,H,76,INFLOW,20100108,1200,102, ,CFS
PNF,H,76,INFLOW,20100108,1300,512, ,CFS
PNF,H,76,INFLOW,20100108,1400,1748, ,CFS
PNF,H,76,INFLOW,20100108,1500,1336, ,CFS
PNF,H,76,INFLOW,20100108,1600,1348, ,CFS
PNF,H,76,INFLOW,20100108,1700,1336, ,CFS
PNF,H,76,INFLOW,20100108,1800,1760, ,CFS
PNF,H,76,INFLOW,20100108,1900,513, ,CFS
PNF,H,76,INFLOW,20100108,2000,925, ,CFS
PNF,H,76,INFLOW,20100108,2100,1760, ,CFS
PNF,H,76,INFLOW,20100108,2200,2159, ,CFS
PNF,H,76,INFLOW,20100108,2300,937, ,CFS
PNF,H,76,INFLOW,20100109,0000,1336, ,CFS
PNF,H,76,INFLOW,20100109,0100,513, ,CFS
PNF,H,76,INFLOW,20100109,0200,513, ,CFS
PNF,H,76,INFLOW,20100109,0300,1348, ,CFS
PNF,H,76,INFLOW,20100109,0400,102, ,CFS
PNF,H,76,INFLOW,20100109,0500,513, ,CFS
PNF,H,76,INFLOW,20100109,0600,513, ,CFS
PNF,H,76,INFLOW,20100109,0700,102, ,CFS
PNF,H,76,INFLOW,20100109,0800,513, ,CFS
PNF,H,76,INFLOW,20100109,0900,937, ,CFS
PNF,H,76,INFLOW,20100109,1000,102, ,CFS
PNF,H,76,INFLOW,20100109,1100,925, ,CFS
PNF,H,76,INFLOW,20100109,1200,513, ,CFS
PNF,H,76,INFLOW,20100109,1300,102, ,CFS
PNF,H,76,INFLOW,20100109,1400,513, ,CFS
PNF,H,76,INFLOW,20100109,1500,1348, ,CFS
PNF,H,76,INFLOW,20100109,1600,102, ,CFS
PNF,H,76,INFLOW,20100109,1700,925, ,CFS
PNF,H,76,INFLOW,20100109,1800,1760, ,CFS
PNF,H,76,INFLOW,20100109,1900,2582, ,CFS
PNF,H,76,INFLOW,20100109,2000,0, ,CFS
PNF,H,76,INFLOW,20100109,2100,513, ,CFS
PNF,H,76,INFLOW,20100109,2200,1760, ,CFS
PNF,H,76,INFLOW,20100109,2300,2582, ,CFS
PNF,H,76,INFLOW,20100110,0000,937, ,CFS
PNF,H,76,INFLOW,20100110,0100,513, ,CFS
PNF,H,76,INFLOW,20100110,0200,513, ,CFS
PNF,H,76,INFLOW,20100110,0300,102, ,CFS
PNF,H,76,INFLOW,20100110,0400,937, ,CFS
PNF,H,76,INFLOW,20100110,0500,102, ,CFS
PNF,H,76,INFLOW,20100110,0600,513, ,CFS
PNF,H,76,INFLOW,20100110,0700,513, ,CFS
PNF,H,76,INFLOW,20100110,0800,513, ,CFS
PNF,H,76,INFLOW,20100110,0900,102, ,CFS
PNF,H,76,INFLOW,20100110,1000,513, ,CFS
PNF,H,76,INFLOW,20100110,1100,527, ,CFS
PNF,H,76,INFLOW,20100110,1200,929, ,CFS
PNF,H,76,INFLOW,20100110,1300,530, ,CFS
PNF,H,76,INFLOW,20100110,1400,518, ,CFS
PNF,H,76,INFLOW,20100110,1500,518, ,CFS
PNF,H,76,INFLOW,20100110,1600,518, ,CFS
PNF,H,76,INFLOW,20100110,1700,942, ,CFS
PNF,H,76,INFLOW,20100110,1800,1341, ,CFS
PNF,H,76,INFLOW,20100110,1900,942, ,CFS
PNF,H,76,INFLOW,20100110,2000,1353, ,CFS
PNF,H,76,INFLOW,20100110,2100,1765, ,CFS
PNF,H,76,INFLOW,20100110,2200,1353, ,CFS
PNF,H,76,INFLOW,20100110,2300,1765, ,CFS
PNF,H,76,INFLOW,20100111,0000,930, ,CFS
PNF,H,76,INFLOW,20100111,0100,530, ,CFS
PNF,H,76,INFLOW,20100111,0200,930, ,CFS
PNF,H,76,INFLOW,20100111,0300,530, ,CFS
PNF,H,76,INFLOW,20100111,0400,107, ,CFS
PNF,H,76,INFLOW,20100111,0500,518, ,CFS
PNF,H,76,INFLOW,20100111,0600,1765, ,CFS
PNF,H,76,INFLOW,20100111,0700,942, ,CFS
PNF,H,76,INFLOW,20100111,0800,930, ,CFS
PNF,H,76,INFLOW,20100111,0900,942, ,CFS
PNF,H,76,INFLOW,20100111,1000,1766, ,CFS
PNF,H,76,INFLOW,20100111,1100,943, ,CFS
PNF,H,76,INFLOW,20100111,1200,1354, ,CFS
PNF,H,76,INFLOW,20100111,1300,1766, ,CFS
PNF,H,76,INFLOW,20100111,1400,1354, ,CFS
PNF,H,76,INFLOW,20100111,1500,1354, ,CFS
PNF,H,76,INFLOW,20100111,1600,1354, ,CFS
PNF,H,76,INFLOW,20100111,1700,1354, ,CFS
PNF,H,76,INFLOW,20100111,1800,1366, ,CFS
PNF,H,76,INFLOW,20100111,1900,931, ,CFS
PNF,H,76,INFLOW,20100111,2000,1778, ,CFS
PNF,H,76,INFLOW,20100111,2100,1355, ,CFS
