STATION_ID,DUR_CODE,SENSOR_NUM,SENSOR_TYPE,ACTUAL_DATE,VALUE,DATA_FLAG,UNITS
SHA,H,76,INFLOW,20090606,0000,1073, ,CFS
SHA,H,76,INFLOW,20090606,0100,5318, ,CFS
SHA,H,76,INFLOW,20090606,0200,2289, ,CFS
SHA,H,76,INFLOW,20090606,0300,4477, ,CFS
SHA,H,76,INFLOW,20090606,0400,1433, ,CFS
SHA,H,76,INFLOW,20090606,0500,1672, ,CFS
SHA,H,76,INFLOW,20090606,0600,4649, ,CFS
SHA,H,76,INFLOW,20090606,0700,871, ,CFS
SHA,H,76,INFLOW,20090606,0800,4622, ,CFS
SHA,H,76,INFLOW,20090606,0900,4355, ,CFS
SHA,H,76,INFLOW,20090606,1000,5648, ,CFS
SHA,H,76,INFLOW,20090606,1100,3019, ,CFS
SHA,H,76,INFLOW,20090606,1200,5777, ,CFS
SHA,H,76,INFLOW,20090606,1300,5707, ,CFS
SHA,H,76,INFLOW,20090606,1400,5404, ,CFS
SHA,H,76,INFLOW,20090606,1500,5347, ,CFS
SHA,H,76,INFLOW,20090606,1600,5128, ,CFS
SHA,H,76,INFLOW,20090606,1700,2753, ,CFS
SHA,H,76,INFLOW,20090606,1800,8332, ,CFS
SHA,H,76,INFLOW,20090606,1900,5220, ,CFS
SHA,H,76,INFLOW,20090606,2000,4975, ,CFS
SHA,H,76,INFLOW,20090606,2100,10684, ,CFS
SHA,H,76,INFLOW,20090606,2200,2774, ,CFS
SHA,H,76,INFLOW,20090606,2300,5495, ,CFS
SHA,H,76,INFLOW,20090607,0000,4030, ,CFS
SHA,H,76,INFLOW,20090607,0100,4048, ,CFS
SHA,H,76,INFLOW,20090607,0200,-424, ,CFS
SHA,H,76,INFLOW,20090607,0300,1565, ,CFS
SHA,H,76,INFLOW,20090607,0400,1452, ,CFS
SHA,H,76,INFLOW,20090607,0500,1437, ,CFS
SHA,H,76,INFLOW,20090607,0600,4178, ,CFS
SHA,H,76,INFLOW,20090607,0700,3552, ,CFS
SHA,H,76,INFLOW,20090607,0800,75, ,CFS
SHA,H,76,INFLOW,20090607,0900,8057, ,CFS
SHA,H,76,INFLOW,20090607,1000,3444, ,CFS
SHA,H,76,INFLOW,20090607,1100,9256, ,CFS
SHA,H,76,INFLOW,20090607,1200,12037, ,CFS
SHA,H,76,INFLOW,20090607,1300,5279, ,CFS
SHA,H,76,INFLOW,20090607,1400,5015, ,CFS
