reservoir,Shasta,Keswick,Oroville,Thermalito,Bullards Bar,Englebright,Folsom,Nimbus,New Melones,Don Pedro,New Exchequer,Pine Flat
lon,-122.418889,-122.445833,-121.485556,-121.629167,-121.1338,-121.267,-121.156389,-121.219806,-120.524167,-120.362808,-120.2694,-119.326111
lat,40.718611,40.611944,39.538889,39.513889,39.4395,39.238,38.707778,38.636095,37.949167,37.704288,37.586,36.832222
capacity_MW,714,117,644.3,115.1,315,46.8,207,13.5,300,203,94.5,165
storage_capacity (million m3),5614.932874,29.35686722,4364.058804,67.84150204,1191.543472,86.34372987,1202.644809,10.85464056,2985.02609,2503.968166,1263.825509,1233.481855
deadpool (million m3),662.0238805,0,867.1494136,0,309.6039457,61.67409277,111.013367,0,98.67854843,123.3481855,141.8504134,148.0178226
release_capacity (cms),1584.356791,1703.148619,1153.374491,1159.488164,104.7723339,96.2772798,1108.944362,1111.736558,224.296556,254.851623,87.7822257,227.1011129
efficiency,0.916266447,0.771623853,0.859103384,0.81861015,0.9,0.9,0.829199799,0.783712755,0.897566109,0.85,0.85,0.87
evap_coeff,0.999171932,1,0.999825962,0.998377188,0.99976375,0.997301875,0.998749063,1,0.999321932,0.999317292,0.99871375,0.999282708
initial_storage (million m3),2807.466437,14.67843361,2182.029402,33.92075102,595.7717361,43.17186494,601.3224045,5.42732028,1492.513045,1251.984083,631.9127545,616.7409277
ending_storage (million m3),2807.466437,14.67843361,2182.029402,33.92075102,595.7717361,43.17186494,601.3224045,5.42732028,1492.513045,1251.984083,631.9127545,616.7409277
a3,3.97E-10,0.001617646,9.54E-11,0,2.07E-08,1.20E-05,3.21E-08,0.009269121,4.33E-09,2.00E-09,4.98E-08,4.72E-08
a2,-5.47E-06,-0.112485446,-4.29E-06,0,-7.90E-05,-0.004453423,-8.67E-05,-0.253804847,-2.87E-05,-1.63E-05,-0.000144726,-0.000125362
a1,0.034370904,2.88127658,0.044909444,0,0.153347081,0.803360828,0.101747899,2.705583428,0.086684534,0.063759085,0.181114252,0.158366502
c,55.56257157,0.214664334,83.29399819,30.13405508,302.9332634,28.35882759,50.60394701,1.427740357,63.03293576,69.73648667,24.25659035,28.03055038
