i,j,price,amplitude,lower_bound,upper_bound
SUPERSOURCE,INITIAL,0.0,1.0,0.0,10000000000.0
ENDING,SUPERSINK,0.0,1.0,0.0,10000000000.0
INITIAL,stor_Shasta.2010-10-31 00:00:00,0.0,1.0,2807.466437,2807.466437
INITIAL,stor_Keswick.2010-10-31 00:00:00,0.0,1.0,14.67843361,14.67843361
INITIAL,stor_Folsom.2010-10-31 00:00:00,0.0,1.0,601.3224045,601.3224045
INITIAL,stor_Nimbus.2010-10-31 00:00:00,0.0,1.0,5.42732028,5.42732028
INITIAL,stor_New Melones.2010-10-31 00:00:00,0.0,1.0,1492.513045,1492.513045
INITIAL,stor_Pine Flat.2010-10-31 00:00:00,0.0,1.0,616.7409277,616.7409277
SUPERSOURCE,INFLOW.2010-10-31 00:00:00,0.0,1.0,0.0,10000000000.0
DELTA.2010-10-31 00:00:00,SUPERSINK,0.0,1.0,0.0,10000000000.0
INFLOW.2010-10-31 00:00:00,stor_Shasta.2010-10-31 00:00:00,0.0,1.0,302.033701543,302.033701543
stor_Shasta.2010-10-31 00:00:00,stor_Shasta.2010-11-30 00:00:00,983.747717788,0.999171932,662.0238805,5614.932874
stor_Shasta.2010-10-31 00:00:00,flow_Shasta.2010-10-31 00:00:00,8001.74268112,1.0,0.0,4106.65280227
stor_Shasta.2010-10-31 00:00:00,spill_Shasta.2010-10-31 00:00:00,-1000.0,1.0,0.0,10000000000.0
spill_Shasta.2010-10-31 00:00:00,flow_Shasta.2010-10-31 00:00:00,0.0,1.0,0.0,10000000000.0
flow_Shasta.2010-10-31 00:00:00,stor_Keswick.2010-10-31 00:00:00,0.0,1.0,0.0,10000000000.0
INFLOW.2010-10-31 00:00:00,stor_Keswick.2010-10-31 00:00:00,0.0,1.0,0.0,0.0
stor_Keswick.2010-10-31 00:00:00,stor_Keswick.2010-11-30 00:00:00,71747.1477315,1.0,0.0,29.35686722
stor_Keswick.2010-10-31 00:00:00,flow_Keswick.2010-10-31 00:00:00,954.560359692,1.0,0.0,4414.56122045
stor_Keswick.2010-10-31 00:00:00,spill_Keswick.2010-10-31 00:00:00,-1000.0,1.0,0.0,10000000000.0
spill_Keswick.2010-10-31 00:00:00,flow_Keswick.2010-10-31 00:00:00,0.0,1.0,0.0,10000000000.0
flow_Keswick.2010-10-31 00:00:00,DELTA.2010-10-31 00:00:00,0.0,1.0,0.0,10000000000.0
INFLOW.2010-10-31 00:00:00,stor_Folsom.2010-10-31 00:00:00,0.0,1.0,114.180301225,114.180301225
stor_Folsom.2010-10-31 00:00:00,stor_Folsom.2010-11-30 00:00:00,1760.00920715,0.998749063,111.013367,1202.644809
stor_Folsom.2010-10-31 00:00:00,flow_Folsom.2010-10-31 00:00:00,5456.96008728,1.0,0.0,2874.3837863
stor_Folsom.2010-10-31 00:00:00,spill_Folsom.2010-10-31 00:00:00,-1000.0,1.0,0.0,10000000000.0
spill_Folsom.2010-10-31 00:00:00,flow_Folsom.2010-10-31 00:00:00,0.0,1.0,0.0,10000000000.0
flow_Folsom.2010-10-31 00:00:00,stor_Nimbus.2010-10-31 00:00:00,0.0,1.0,0.0,10000000000.0
