i,j,a3,a2,a1,c,efficiency,price,amplitude,lower_bound,upper_bound,warmstart
SUPERSOURCE,INITIAL,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,10000000000.0,5538.14862347
ENDING,SUPERSINK,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,10000000000.0,5538.14851311
INITIAL,stor_Shasta.2010-10-31 00:00:00,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2807.466437,2807.466437,2807.46646507
INITIAL,stor_Keswick.2010-10-31 00:00:00,0.0,0.0,0.0,0.0,1.0,0.0,1.0,14.67843361,14.67843361,14.6784337568
INITIAL,stor_Folsom.2010-10-31 00:00:00,0.0,0.0,0.0,0.0,1.0,0.0,1.0,601.3224045,601.3224045,601.322410513
INITIAL,stor_Nimbus.2010-10-31 00:00:00,0.0,0.0,0.0,0.0,1.0,0.0,1.0,5.42732028,5.42732028,5.42732033427
INITIAL,stor_New Melones.2010-10-31 00:00:00,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1492.513045,1492.513045,1492.51305993
INITIAL,stor_Pine Flat.2010-10-31 00:00:00,0.0,0.0,0.0,0.0,1.0,0.0,1.0,616.7409277,616.7409277,616.740933867
SUPERSOURCE,INFLOW.2010-10-31 00:00:00,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,10000000000.0,576.198249392
DELTA.2010-10-31 00:00:00,SUPERSINK,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,10000000000.0,-9.97666615616e-09
INFLOW.2010-10-31 00:00:00,stor_Shasta.2010-10-31 00:00:00,0.0,0.0,0.0,0.0,1.0,0.0,1.0,302.033701543,302.033701543,302.033704563
stor_Shasta.2010-10-31 00:00:00,stor_Shasta.2010-11-30 00:00:00,3.97e-10,-5.47e-06,0.034370904,55.56257157,0.916266447,0.0,0.999171932,662.0238805,5614.932874,3092.25901303
stor_Shasta.2010-10-31 00:00:00,flow_Shasta.2010-10-31 00:00:00,0.0,0.0,0.0,0.0,1.0,30.9119878485,1.0,0.0,4106.65280227,14.6784337767
stor_Shasta.2010-10-31 00:00:00,spill_Shasta.2010-10-31 00:00:00,0.0,0.0,0.0,0.0,1.0,-1000.0,1.0,0.0,10000000000.0,-9.99983973221e-09
spill_Shasta.2010-10-31 00:00:00,flow_Shasta.2010-10-31 00:00:00,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,10000000000.0,-9.9998398113e-09
flow_Shasta.2010-10-31 00:00:00,stor_Keswick.2010-10-31 00:00:00,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,10000000000.0,14.6784337667
INFLOW.2010-10-31 00:00:00,stor_Keswick.2010-10-31 00:00:00,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,9.9975870878e-09
stor_Keswick.2010-10-31 00:00:00,stor_Keswick.2010-11-30 00:00:00,0.001617646,-0.112485446,2.88127658,0.214664334,0.771623853,0.0,1.0,0.0,29.35686722,29.3568675136
stor_Keswick.2010-10-31 00:00:00,flow_Keswick.2010-10-31 00:00:00,0.0,0.0,0.0,0.0,1.0,30.9119878485,1.0,0.0,4414.56122045,2.99512926531e-08
stor_Keswick.2010-10-31 00:00:00,spill_Keswick.2010-10-31 00:00:00,0.0,0.0,0.0,0.0,1.0,-1000.0,1.0,0.0,10000000000.0,-9.99983796785e-09
spill_Keswick.2010-10-31 00:00:00,flow_Keswick.2010-10-31 00:00:00,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,10000000000.0,-9.99983354022e-09
flow_Keswick.2010-10-31 00:00:00,DELTA.2010-10-31 00:00:00,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,10000000000.0,1.99514670604e-08
