datetime,SHA,KES,FOL,NAT,NML,PNF
2010-10-31,116.525347818,0,44.0510421391,0,28.7994893887,32.922825751
2010-11-30,133.632746376,0,59.1174747729,0,28.8372083929,84.6586808314
2010-12-31,385.180786704,0,312.664576666,0,82.8057682026,139.698842998
2011-01-31,212.584428042,0,156.173881453,0,59.5486926496,75.178107843
2011-02-28,252.252667387,0,143.038886603,0,55.3644924649,58.4131887163
2011-03-31,682.703348098,0,398.399501936,0,127.602867914,110.153676639
2011-04-30,444.633687976,0,316.561780416,0,106.718389546,161.991793344
2011-05-31,336.50393641,0,256.837988919,0,140.036019004,224.725504554
2011-06-30,273.031078103,0,300.36206621,0,190.428514995,375.571021907
2011-07-31,145.551029439,0,155.17202075,0,96.4462293748,221.023876074
2011-08-31,140.245426653,0,64.0919480612,0,39.2097747493,71.4676113183
2011-09-30,119.040642497,0,64.2016466641,0,39.1729362059,36.318322726
2011-10-31,117.317420267,0,38.1312225847,0,29.4540119931,26.1194368369
2011-11-30,129.350924479,0,27.7630166679,0,31.3225229938,23.979335303
2011-12-31,122.646620423,0,31.5848737602,0,36.4233056595,16.5184271721
2012-01-31,138.880889559,0,53.928331364,0,33.9417755193,21.6742247018
2012-03-31,383.464515551,0,159.371782149,0,39.104423899,29.7018414948
2012-04-30,366.138994803,0,197.923158491,0,49.3335321857,79.4081277991
2012-05-31,194.869081239,0,116.187791209,0,33.8388985876,90.6484120427
2012-06-30,125.769197292,0,47.770914179,0,26.8695808158,41.9099167843
2012-07-31,100.237946533,0,39.455301604,0,23.7009345172,25.4114014812
2012-08-31,97.8637083167,0,44.0562944583,0,24.3198327016,25.1208873776
2012-09-30,98.153113599,0,39.4464297537,0,22.8214712282,12.1439158099
2012-10-31,93.4357755483,0,32.5623568555,0,17.974461176,10.9608843752
2012-11-30,190.604669379,0,55.1524869283,0,22.5629816764,9.25272640206
2012-12-31,429.353621729,0,225.554838016,0,46.4156891655,22.8161091691
2013-01-31,178.738945027,0,80.1657170025,0,29.0335600993,20.2352987932
2013-02-28,176.56830891,0,57.8167229874,0,31.7498011795,21.0117746853
2013-03-31,192.149236667,0,71.1100350035,0,36.9134078625,31.8480796144
2013-04-30,195.931933539,0,78.1971696353,0,33.4884668219,59.2356976087
2013-05-31,125.862942296,0,61.1327614297,0,28.4716000915,64.976164446
2013-06-30,112.032262196,0,43.0908079623,0,26.6341970252,33.0571265173
2013-07-31,98.051193247,0,36.5377148564,0,24.0128004372,21.2856292613
2013-08-31,97.258169291,0,37.3903792692,0,23.8206340925,11.6201835453
2013-09-30,98.3678103594,0,26.0506733323,0,20.958281689,9.30338209523
2013-10-31,95.0267332392,0,15.2438265148,0,15.8315913913,8.92113891473
2013-11-30,101.480697083,0,14.9360749111,0,18.228694954,7.90567039342
2013-12-31,105.09915751,0,16.0674128751,0,17.0858298002,6.68060645601
2014-01-31,97.5655821583,0,12.4724673556,0,15.3121066539,6.5498123104
2014-02-28,154.542015761,0,87.4193318232,0,21.7494875425,10.6980795145
2014-03-31,264.540000033,0,78.1941184696,0,21.2277776383,18.4545154654
2014-04-30,176.260495231,0,76.656339869,0,23.7510700532,46.9303757706
2014-05-31,100.150484015,0,45.5620351849,0,22.3578253589,68.0127276231
2014-06-30,86.3105362358,0,29.4473184589,0,19.9339000841,30.9865750669
2014-07-31,79.860435511,0,30.9818657419,0,17.7492204496,63.1901287991
2014-08-31,80.290516655,0,41.8828622697,0,15.9153620637,18.574253101
2014-09-30,76.3613727121,0,27.8794697012,0,14.2839615219,11.1967959361
2014-10-31,89.1019658464,0,17.8949532549,0,16.3198286405,7.14988968677
2014-11-30,93.3552171632,0,19.7852169731,0,14.8182453643,7.53039351284
2014-12-31,429.402491133,0,92.5750804158,0,24.5520003988,9.24645914295
2015-01-31,150.990185738,0,35.5268338663,0,21.4210477308,6.88244011169
2015-02-28,371.473124668,0,86.0735231024,0,32.946230103,19.3021029094
2015-03-31,129.241857675,0,30.2490531451,0,19.2111918568,15.6098522106
2015-04-30,118.038344103,0,24.6361681666,0,14.743756325,17.2099570549
2015-05-31,101.203041009,0,24.0685968053,0,15.5717919321,30.8679893897
2015-06-30,97.1129807478,0,23.1045807044,0,14.1048967937,27.900078073
2015-07-31,81.8249928926,0,19.7143867951,0,13.2259466837,15.478201708
2015-08-31,77.7615063167,0,24.171473737,0,12.4931721471,7.12195344264
