date,DELTA,INFLOW,flow_Folsom,flow_Keswick,flow_New Melones,flow_Nimbus,flow_Pine Flat,flow_Shasta,spill_Folsom,spill_Keswick,spill_New Melones,spill_Nimbus,spill_Pine Flat,spill_Shasta,stor_Folsom,stor_Keswick,stor_New Melones,stor_Nimbus,stor_Pine Flat,stor_Shasta
2010-10-31 00:00:00,-0.0,0.0,-3915.16501294,-0.0,-0.0,-0.0,-0.0,-3348.92319165,-3915.16501294,-0.0,-0.0,-0.0,-0.0,-3348.92319165,-9372.12510022,-3348.92319165,-9481.00264276,-3915.16501294,-6712.36895953,-11350.6658728
2010-11-30 00:00:00,-0.0,0.0,-1980.79739151,-0.0,-0.0,-0.0,-0.0,-987.113425278,-1980.79739151,-0.0,-0.0,-0.0,-0.0,-987.113425278,-7623.8545154,-987.113425278,-9063.76409002,-1980.79739151,-6099.60106915,-10376.3250677
2010-12-31 00:00:00,-0.0,0.0,-440.9385379,-0.0,-0.0,-0.0,-0.0,-1489.8284696,-440.9385379,-0.0,-0.0,-0.0,-0.0,-1489.8284696,-5813.37317566,-1489.8284696,-8631.79407902,-440.9385379,-5465.3319973,-9367.62837065
2011-01-31 00:00:00,-0.0,0.0,-420.401116397,-0.0,-0.0,-0.0,-0.0,-896.003183837,-420.401116397,-0.0,-0.0,-0.0,-0.0,-896.003183837,-5542.6059839,-896.003183837,-8220.54175905,-420.401116397,-5135.90470018,-8406.88186409
2011-02-28 00:00:00,-0.0,0.0,-366.031901253,-0.0,-0.0,-0.0,-0.0,-780.125784864,-366.031901253,-0.0,-0.0,-0.0,-0.0,-780.125784864,-4825.7972971,-780.125784864,-7828.43793559,-366.031901253,-4559.89081167,-7490.44904466
2011-03-31 00:00:00,-0.0,0.0,-327.43118003,-0.0,-0.0,-0.0,-0.0,-697.855859426,-327.43118003,-0.0,-0.0,-0.0,-0.0,-697.855859426,-4316.88198439,-697.855859426,-7487.49904775,-327.43118003,-4058.43438959,-6692.67728191
2011-04-30 00:00:00,-0.0,0.0,-333.573891086,-0.0,-0.0,-0.0,-0.0,-710.947846288,-333.573891086,-0.0,-0.0,-0.0,-0.0,-710.947846288,-4397.8680259,-710.947846288,-7182.84346684,-333.573891086,-3609.84541877,-6670.57288384
2011-05-31 00:00:00,-0.0,0.0,-334.870657214,-0.0,-0.0,-0.0,-0.0,-713.711650899,-334.870657214,-0.0,-0.0,-0.0,-0.0,-713.711650899,-4414.9647044,-713.711650899,-6872.17042993,-334.870657214,-3152.4641226,-6696.50466333
2011-06-30 00:00:00,-0.0,0.0,-329.648385996,-0.0,-0.0,-0.0,-0.0,-702.581401531,-329.648385996,-0.0,-0.0,-0.0,-0.0,-702.581401531,-4346.1138197,-702.581401531,-6560.05990783,-329.648385996,-2692.96639793,-6592.07342023
2011-07-31 00:00:00,-0.0,0.0,-438.020878128,-0.0,-0.0,-0.0,-0.0,-933.556289687,-438.020878128,-0.0,-0.0,-0.0,-0.0,-933.556289687,-5774.90647899,-933.556289687,-8571.99757214,-438.020878128,-5429.1683139,-8759.22931991
