date,INFLOW-stor_Folsom,INFLOW-stor_Keswick,INFLOW-stor_New Melones,INFLOW-stor_Nimbus,INFLOW-stor_Pine Flat,INFLOW-stor_Shasta,flow_Folsom-stor_Nimbus,flow_Keswick-DELTA,flow_New Melones-DELTA,flow_Nimbus-DELTA,flow_Pine Flat-DELTA,flow_Shasta-stor_Keswick,spill_Folsom-flow_Folsom,spill_Keswick-flow_Keswick,spill_New Melones-flow_New Melones,spill_Nimbus-flow_Nimbus,spill_Pine Flat-flow_Pine Flat,spill_Shasta-flow_Shasta,stor_Folsom-flow_Folsom,stor_Folsom-spill_Folsom,stor_Keswick-flow_Keswick,stor_Keswick-spill_Keswick,stor_New Melones-flow_New Melones,stor_New Melones-spill_New Melones,stor_Nimbus-flow_Nimbus,stor_Nimbus-spill_Nimbus,stor_Pine Flat-flow_Pine Flat,stor_Pine Flat-spill_Pine Flat,stor_Shasta-flow_Shasta,stor_Shasta-spill_Shasta
2010-10-31 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6456.96008728,-2394.36283196,-4348.92319165,-716.143827817,-10481.0026428,-3467.28911107,-4915.16501294,-1161.0499474,-7712.36895953,0.0,-9001.74268112
2010-11-30 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6643.05712389,0.0,-1987.11342528,0.0,-10063.76409,-1517.64771772,-2980.79739151,-358.96709554,-7099.60106915,-1114.58790474,-10389.2116425
2010-12-31 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6372.43463776,-550.053755227,-2489.8284696,-2.69838002875,-9631.79407902,0.0,-1440.9385379,0.0,-6465.3319973,0.0,-8877.79990105
2011-01-31 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6122.2048675,0.0,-1896.00318384,0.0,-9220.54175905,0.0,-1420.4011164,0.0,-6135.90470018,0.0,-8510.87868025
2011-02-28 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5459.76539585,0.0,-1780.12578486,-665.25302616,-8828.43793559,0.0,-1366.03190125,-23.0094133874,-5559.89081167,-170.804047792,-7710.32325979
2011-03-31 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4989.45080436,0.0,-1697.85585943,-1079.72393526,-8487.49904775,0.0,-1327.43118003,0.0,-5058.43438959,-144.941939907,-6994.82142249
2011-04-30 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5064.29413481,0.0,-1710.94784629,-654.856493252,-8182.84346684,0.0,-1333.57389109,0.0,-4609.84541877,0.0,-6959.62503755
2011-05-31 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5080.09404719,0.0,-1713.7116509,-318.805975864,-7872.17042993,0.0,-1334.87065721,0.0,-4152.4641226,0.0,-6982.79301243
2011-06-30 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5016.4654337,0.0,-1702.58140153,-108.89448284,-7560.05990783,0.0,-1329.648386,0.0,-3692.96639793,0.0,-6889.4920187
2011-07-31 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6336.88560086,0.0,-1933.55628969,0.0,-9571.99757214,0.0,-1438.02087813,0.0,-6429.1683139,0.0,-8825.67303022
