link,value
"('SUPERSOURCE', 'INITIAL')",5538.14856809
"('ENDING', 'SUPERSINK')",5538.14856809
"('SUPERSOURCE', 'INFLOW.2010-10-31 00:00:00')",576.19824361
"('DELTA.2010-10-31 00:00:00', 'SUPERSINK')",-0.0
"('INFLOW.2010-10-31 00:00:00', 'stor_Shasta.2010-10-31 00:00:00')",302.033701543
"('stor_Shasta.2010-10-31 00:00:00', 'flow_Shasta.2010-10-31 00:00:00')",14.67843361
"('stor_Shasta.2010-10-31 00:00:00', 'spill_Shasta.2010-10-31 00:00:00')",0.0
"('spill_Shasta.2010-10-31 00:00:00', 'flow_Shasta.2010-10-31 00:00:00')",0.0
"('flow_Shasta.2010-10-31 00:00:00', 'stor_Keswick.2010-10-31 00:00:00')",14.67843361
"('INFLOW.2010-10-31 00:00:00', 'stor_Keswick.2010-10-31 00:00:00')",0.0
"('stor_Keswick.2010-10-31 00:00:00', 'flow_Keswick.2010-10-31 00:00:00')",0.0
"('stor_Keswick.2010-10-31 00:00:00', 'spill_Keswick.2010-10-31 00:00:00')",0.0
"('spill_Keswick.2010-10-31 00:00:00', 'flow_Keswick.2010-10-31 00:00:00')",0.0
"('flow_Keswick.2010-10-31 00:00:00', 'DELTA.2010-10-31 00:00:00')",0.0
"('INFLOW.2010-10-31 00:00:00', 'stor_Folsom.2010-10-31 00:00:00')",114.180301225
"('stor_Folsom.2010-10-31 00:00:00', 'flow_Folsom.2010-10-31 00:00:00')",5.42732028
"('stor_Folsom.2010-10-31 00:00:00', 'spill_Folsom.2010-10-31 00:00:00')",0.0
"('spill_Folsom.2010-10-31 00:00:00', 'flow_Folsom.2010-10-31 00:00:00')",0.0
"('flow_Folsom.2010-10-31 00:00:00', 'stor_Nimbus.2010-10-31 00:00:00')",5.42732028
"('INFLOW.2010-10-31 00:00:00', 'stor_Nimbus.2010-10-31 00:00:00')",0.0
"('stor_Nimbus.2010-10-31 00:00:00', 'flow_Nimbus.2010-10-31 00:00:00')",0.0
"('stor_Nimbus.2010-10-31 00:00:00', 'spill_Nimbus.2010-10-31 00:00:00')",0.0
"('spill_Nimbus.2010-10-31 00:00:00', 'flow_Nimbus.2010-10-31 00:00:00')",0.0
"('flow_Nimbus.2010-10-31 00:00:00', 'DELTA.2010-10-31 00:00:00')",0.0
"('INFLOW.2010-10-31 00:00:00', 'stor_New Melones.2010-10-31 00:00:00')",74.6482764956
"('stor_New Melones.2010-10-31 00:00:00', 'flow_New Melones.2010-10-31 00:00:00')",0.0
"('stor_New Melones.2010-10-31 00:00:00', 'spill_New Melones.2010-10-31 00:00:00')",0.0
"('spill_New Melones.2010-10-31 00:00:00', 'flow_New Melones.2010-10-31 00:00:00')",0.0
"('flow_New Melones.2010-10-31 00:00:00', 'DELTA.2010-10-31 00:00:00')",0.0
"('INFLOW.2010-10-31 00:00:00', 'stor_Pine Flat.2010-10-31 00:00:00')",85.3359643465
"('stor_Pine Flat.2010-10-31 00:00:00', 'flow_Pine Flat.2010-10-31 00:00:00')",0.0
"('stor_Pine Flat.2010-10-31 00:00:00', 'spill_Pine Flat.2010-10-31 00:00:00')",0.0
"('spill_Pine Flat.2010-10-31 00:00:00', 'flow_Pine Flat.2010-10-31 00:00:00')",0.0
"('flow_Pine Flat.2010-10-31 00:00:00', 'DELTA.2010-10-31 00:00:00')",0.0
"('SUPERSOURCE', 'INFLOW.2010-11-30 00:00:00')",793.789918085
"('DELTA.2010-11-30 00:00:00', 'SUPERSINK')",40.1383293033
"('INFLOW.2010-11-30 00:00:00', 'stor_Shasta.2010-11-30 00:00:00')",346.376078605
"('stor_Shasta.2010-11-30 00:00:00', 'flow_Shasta.2010-11-30 00:00:00')",0.0
"('stor_Shasta.2010-11-30 00:00:00', 'spill_Shasta.2010-11-30 00:00:00')",0.0
"('spill_Shasta.2010-11-30 00:00:00', 'flow_Shasta.2010-11-30 00:00:00')",3.5527136788e-15
"('flow_Shasta.2010-11-30 00:00:00', 'stor_Keswick.2010-11-30 00:00:00')",3.5527136788e-15
"('INFLOW.2010-11-30 00:00:00', 'stor_Keswick.2010-11-30 00:00:00')",0.0
"('stor_Keswick.2010-11-30 00:00:00', 'flow_Keswick.2010-11-30 00:00:00')",3.5527136788e-15
"('stor_Keswick.2010-11-30 00:00:00', 'spill_Keswick.2010-11-30 00:00:00')",0.0
"('spill_Keswick.2010-11-30 00:00:00', 'flow_Keswick.2010-11-30 00:00:00')",0.0
"('flow_Keswick.2010-11-30 00:00:00', 'DELTA.2010-11-30 00:00:00')",3.5527136788e-15
"('INFLOW.2010-11-30 00:00:00', 'stor_Folsom.2010-11-30 00:00:00')",153.232494611
"('stor_Folsom.2010-11-30 00:00:00', 'flow_Folsom.2010-11-30 00:00:00')",0.0
"('stor_Folsom.2010-11-30 00:00:00', 'spill_Folsom.2010-11-30 00:00:00')",0.0
"('spill_Folsom.2010-11-30 00:00:00', 'flow_Folsom.2010-11-30 00:00:00')",0.0
"('flow_Folsom.2010-11-30 00:00:00', 'stor_Nimbus.2010-11-30 00:00:00')",0.0
"('INFLOW.2010-11-30 00:00:00', 'stor_Nimbus.2010-11-30 00:00:00')",0.0
"('stor_Nimbus.2010-11-30 00:00:00', 'flow_Nimbus.2010-11-30 00:00:00')",0.0
"('stor_Nimbus.2010-11-30 00:00:00', 'spill_Nimbus.2010-11-30 00:00:00')",0.0
"('spill_Nimbus.2010-11-30 00:00:00', 'flow_Nimbus.2010-11-30 00:00:00')",0.0
"('flow_Nimbus.2010-11-30 00:00:00', 'DELTA.2010-11-30 00:00:00')",0.0
"('INFLOW.2010-11-30 00:00:00', 'stor_New Melones.2010-11-30 00:00:00')",74.7460441545
"('stor_New Melones.2010-11-30 00:00:00', 'flow_New Melones.2010-11-30 00:00:00')",40.1383293033
"('stor_New Melones.2010-11-30 00:00:00', 'spill_New Melones.2010-11-30 00:00:00')",0.0
"('spill_New Melones.2010-11-30 00:00:00', 'flow_New Melones.2010-11-30 00:00:00')",0.0
"('flow_New Melones.2010-11-30 00:00:00', 'DELTA.2010-11-30 00:00:00')",40.1383293033
