date,stor_Folsom,stor_Keswick,stor_New Melones,stor_Nimbus,stor_Pine Flat,stor_Shasta
2010-10-31 00:00:00,1.83319654761e-08,5033254.3139,6.31597890994e-09,5095638.59329,1.70002034302e-08,3.51277073041e-09
2010-11-30 00:00:00,1.76991588105e-08,5138302.07853,6.66665408774e-09,5371609.79946,2.89411099116e-08,1.85957199632e-09
2010-12-31 00:00:00,83090.1574922,5151017.39589,7.94050531978e-09,5384325.11682,682579.527626,1.95757907196e-09
2011-01-31 00:00:00,9.24059916278e-09,4895352.26307,9.19567011986e-09,5127302.59721,425669.003285,1.74455951706e-09
2011-02-28 00:00:00,1.1236481477e-08,5013793.66547,1.07719156704e-08,5247096.99821,545759.892094,2.0231772684e-09
2011-03-31 00:00:00,490631.945675,5353705.11027,1.78110363495e-08,5587015.94764,4.36567741129e-08,3.49787203455e-09
2011-04-30 00:00:00,416885.083423,5316875.58872,3.89141438738e-08,5550200.96661,2.40113218875e-08,6.47689595262e-09
2011-05-31 00:00:00,317809.277617,5266026.6804,376535.359412,5500675.40289,2.35865022689e-08,1.75213342392e-08
2011-06-30 00:00:00,2043883.36776,6130355.03526,1239549.6326,6363662.75619,3569116.15829,1786466.73337
2011-07-31 00:00:00,752386.335121,5485637.72211,594273.678182,5718945.44304,1017215.76452,495667.458085
2011-08-31 00:00:00,1140134.71536,5679735.60452,788250.37812,5913043.32544,1211185.44942,231982.703364
2011-09-30 00:00:00,1.08875434725e-08,4757351.39399,1.22231284736e-07,4990662.09896,287174.806808,2.30168476754e-09
2011-10-31 00:00:00,1.23653868821e-08,5296708.05028,251684.449444,5530557.26819,829644.829548,2.50851941159e-09
2011-11-30 00:00:00,1.37136455784e-08,5090162.10541,197445.199706,5321566.55744,620387.629099,2.37426166844e-09
2011-12-31 00:00:00,1.47963898457e-08,5106978.46817,215765.885787,5340283.64373,638716.887317,2.60533059883e-09
2012-01-31 00:00:00,9.31753091094e-09,4577641.27233,4.02654700459e-08,4812309.35298,109523.635611,2.92544278332e-09
2012-03-31 00:00:00,1.63195265786e-08,5006926.75517,7.21468271942e-08,5240234.76922,539334.684838,4.40306164083e-09
2012-04-30 00:00:00,2.14278945134e-07,5563048.00171,391661.140095,5794992.95502,1095671.8782,8.3450302108e-09
2012-05-31 00:00:00,86873.0007588,5151377.50212,260827.925175,5384685.08399,683817.167618,1.56723467242e-08
2012-06-30 00:00:00,585086.058162,5400288.7763,509845.106367,5633596.6426,932840.463114,3.55368905912e-08
