date,INFLOW-stor_Folsom,INFLOW-stor_Keswick,INFLOW-stor_New Melones,INFLOW-stor_Nimbus,INFLOW-stor_Pine Flat,INFLOW-stor_Shasta,flow_Folsom-stor_Nimbus,flow_Keswick-DELTA,flow_New Melones-DELTA,flow_Nimbus-DELTA,flow_Pine Flat-DELTA,flow_Shasta-stor_Keswick,spill_Folsom-flow_Folsom,spill_Keswick-flow_Keswick,spill_New Melones-flow_New Melones,spill_Nimbus-flow_Nimbus,spill_Pine Flat-flow_Pine Flat,spill_Shasta-flow_Shasta,stor_Folsom-flow_Folsom,stor_Folsom-spill_Folsom,stor_Keswick-flow_Keswick,stor_Keswick-spill_Keswick,stor_New Melones-flow_New Melones,stor_New Melones-spill_New Melones,stor_Nimbus-flow_Nimbus,stor_Nimbus-spill_Nimbus,stor_Pine Flat-flow_Pine Flat,stor_Pine Flat-spill_Pine Flat,stor_Shasta-flow_Shasta,stor_Shasta-spill_Shasta
2010-10-31 00:00:00,44.0510425798,3.85709378382e-09,28.7994896767,3.85713365636e-09,32.9228260802,116.525348983,2.09387357806,7.69732525389e-09,-3.85497015983e-09,-3.83747872006e-09,-3.85390597181e-09,5.66297599025,-3.85796286533e-09,-3.85796084318e-09,-3.85795394463e-09,-3.85795238579e-09,-3.8579537706e-09,-3.85796284583e-09,2.09387358192,-3.85796288452e-09,1.15552830309e-08,-3.85796184069e-09,2.97039181836e-12,-3.85795841327e-09,2.04579158735e-11,-3.85795761428e-09,4.03413451579e-12,-3.85795831598e-09,5.66297599411,-3.8579629038e-09
2010-11-30 00:00:00,59.1174753639,3.85702184423e-09,28.8372086813,3.85702184423e-09,84.658681678,133.632747712,65.5551305065,958.243149929,-3.85465734767e-09,65.5551305103,-3.85019595766e-09,958.243149925,-3.85796292551e-09,-3.85796294435e-09,-3.85795381555e-09,-3.85796294436e-09,-3.857952847e-09,-3.85796292527e-09,65.5551305103,-3.85796295062e-09,958.243149933,-3.85796293181e-09,3.28280324901e-12,-3.85795839691e-09,65.5551305142,-3.8579629318e-09,7.74176549944e-12,-3.85795790629e-09,958.243149929,-3.85796295085e-09
2010-12-31 00:00:00,312.664579793,3.85697165033e-09,82.8057690306,3.85697165033e-09,139.698844395,385.180790556,114.934378338,298.773523637,-3.85386147474e-09,114.934378342,18.5494256621,298.773523633,-3.85796283284e-09,-3.85796285137e-09,-3.85795353651e-09,-3.85796285142e-09,-3.85796284637e-09,-3.85796283234e-09,114.934378342,-3.85796285954e-09,298.773523641,-3.85796284105e-09,4.07811532137e-12,-3.85795821042e-09,114.934378346,-3.85796284101e-09,18.549425666,-3.85796284606e-09,298.773523637,-3.85796286003e-09
2011-01-31 00:00:00,156.173883015,3.85692052006e-09,59.5486932452,3.85692052006e-09,75.1781085948,212.584430168,531.918624174,411.078935961,-3.85275271069e-09,531.918624178,74.8365184068,411.078935957,-3.85796274668e-09,-3.85796276538e-09,-3.85795193064e-09,-3.85796276531e-09,-3.85796276046e-09,-3.85796274687e-09,531.918624178,-3.85796277531e-09,411.078935965,-3.85796275666e-09,5.18479280686e-12,-3.8579588443e-09,531.918624182,-3.85796275673e-09,74.8365184107,-3.85796276158e-09,411.078935961,-3.85796277512e-09
2011-02-28 00:00:00,143.038888034,3.85673299637e-09,55.3644930185,3.85675746566e-09,58.4131893006,252.252669909,76.6200163818,2.13421057053e-11,-3.85341798627e-09,76.6200163856,58.0715991126,-3.83529125433e-09,-3.85796252118e-09,-3.85796514862e-09,-3.85795312162e-09,-3.8579625382e-09,-3.85796253364e-09,-3.85795156578e-09,76.6200163856,-3.85796254748e-09,3.87932369573e-09,-3.85795128199e-09,4.52103431325e-12,-3.85795784702e-09,76.6200163895,-3.8579625305e-09,58.0715991165,-3.85796253507e-09,2.2643873492e-11,-3.85795706593e-09
2011-03-31 00:00:00,398.399505921,3.856586298e-09,127.60286919,3.85660883739e-09,110.15367774,682.703354925,88.1887859096,6.35179025087e-12,-3.85330653879e-09,88.1887859135,190.040627157,-3.85014135362e-09,-3.85796236009e-09,-3.85796517806e-09,-3.85795293406e-09,-3.85796237604e-09,-3.8579623716e-09,-3.85795175011e-09,88.1887859135,-3.85796238474e-09,3.86433278448e-09,-3.85795208375e-09,4.63225576905e-12,-3.85795767224e-09,88.1887859174,-3.85796236879e-09,190.040627161,-3.85796237323e-09,7.79448420581e-12,-3.85795708339e-09
2011-04-30 00:00:00,316.561783582,3.85661047724e-09,106.718390613,3.85663479031e-09,161.991794964,444.633692421,315.980642682,1.69869893059e-11,-3.84859339327e-09,315.980642686,227.101115167,-3.83957108543e-09,-3.85796238467e-09,-3.85796512901e-09,-3.85795202415e-09,-3.85796240176e-09,-3.85796200879e-09,-3.857951317e-09,315.980642686,-3.85796241176e-09,3.87496871691e-09,-3.85795121803e-09,9.34308299496e-12,-3.85795722542e-09,315.980642689,-3.85796239472e-09,227.101115171,-3.85796200996e-09,1.83636220219e-11,-3.85795687091e-09
2011-05-31 00:00:00,256.837991488,3.85661528452e-09,140.036020404,3.85664014744e-09,224.725506801,336.503939775,256.256850588,7.60311513997e-11,49.3356115047,256.256850592,227.101115167,-3.7805106851e-09,-3.85796239105e-09,-3.857964653e-09,-3.85796240289e-09,-3.8579624072e-09,-3.85796166117e-09,-3.85795186944e-09,256.256850592,-3.85796241629e-09,3.93401176327e-09,-3.85795092641e-09,49.3356115085,-3.8579624045e-09,256.256850596,-3.85796240018e-09,227.101115171,-3.85796166187e-09,7.74252193669e-11,-3.85795696973e-09
2011-06-30 00:00:00,300.362069213,3.85661831661e-09,190.428516899,3.85661831661e-09,375.571025663,273.031080834,299.780928314,72.0961831159,189.647103293,299.780928317,227.101115167,72.0961831121,-3.85796236849e-09,-3.85796238503e-09,-3.85796238074e-09,-3.8579623851e-09,-3.85796130892e-09,-3.85796257637e-09,299.780928317,-3.85796239495e-09,72.0961831198,-3.85796237845e-09,189.647103297,-3.85796238274e-09,299.780928321,-3.85796237838e-09,227.101115171,-3.85796130922e-09,72.0961831159,-3.85796217551e-09
2011-07-31 00:00:00,155.172022301,3.85696467863e-09,96.4462303395,3.85696467863e-09,221.023878285,145.551030895,154.590881401,143.755737838,95.6648167336,154.590881405,220.682288097,143.755737834,-3.85796281843e-09,-3.85796283743e-09,-3.85796283256e-09,-3.85796283752e-09,-3.85796283296e-09,-3.85796279472e-09,154.590881405,-3.85796284975e-09,143.755737842,-3.85796283082e-09,95.6648167375,-3.8579628357e-09,154.590881409,-3.85796283072e-09,220.682288101,-3.8579628353e-09,143.755737838,-3.85796287308e-09
2011-08-31 00:00:00,64.0919487023,3.85701834605e-09,39.2097751413,3.85701834605e-09,71.467612033,140.245428056,63.5108078024,138.450134999,38.4283615355,63.5108078063,71.126021845,138.450134995,-3.85796291477e-09,-3.85796293473e-09,-3.85796292954e-09,-3.85796293468e-09,-3.85796292957e-09,-3.85796291755e-09,63.5108078063,-3.85796294794e-09,138.450135003,-3.85796292806e-09,38.4283615394,-3.85796293324e-09,63.5108078101,-3.8579629281e-09,71.1260218489,-3.85796293321e-09,138.450134999,-3.85796294518e-09
2011-09-30 00:00:00,64.201647306,3.85711442415e-09,39.1729365977,3.85711442415e-09,36.3183230891,119.040643687,383.491458547,1584.35680684,67.0835768412,383.491458551,35.9767329012,1584.35680684,-3.85796311483e-09,-3.85796313685e-09,-3.85796313126e-09,-3.8579631368e-09,-3.85796313128e-09,-3.85796280762e-09,383.491458551,-3.85796315185e-09,1584.35680685,-3.85796312993e-09,67.083576845,-3.85796313552e-09,383.491458555,-3.85796312997e-09,35.9767329051,-3.8579631355e-09,1584.35680684,-3.85796275088e-09
2011-10-31 00:00:00,38.131222966,3.85694022088e-09,29.4540122876,3.85694209111e-09,26.119437098,117.31742144,-3.850828697e-09,1.61298414326e-11,-3.83527513654e-09,5.94702045996e-12,25.7778469101,-3.84062946254e-09,-3.85795229664e-09,-3.85796558286e-09,-3.8579512132e-09,-3.85796563474e-09,-3.85796283245e-09,-3.85795175547e-09,7.10781902115e-12,-3.85795759216e-09,3.87411200348e-09,-3.85795170458e-09,2.26586537693e-11,-3.85795703332e-09,3.86392836048e-09,-3.85795265167e-09,25.7778469139,-3.85796283606e-09,1.73056941877e-11,-3.85795731523e-09
