link,value
"('SUPERSOURCE', 'INITIAL')",5538.14862347
"('ENDING', 'SUPERSINK')",5538.14851311
"('SUPERSOURCE', 'INFLOW.2010-10-31 00:00:00')",576.198249392
"('DELTA.2010-10-31 00:00:00', 'SUPERSINK')",-9.97666615653e-09
"('INFLOW.2010-10-31 00:00:00', 'stor_Shasta.2010-10-31 00:00:00')",302.033704563
"('stor_Shasta.2010-10-31 00:00:00', 'flow_Shasta.2010-10-31 00:00:00')",14.6784337767
"('stor_Shasta.2010-10-31 00:00:00', 'spill_Shasta.2010-10-31 00:00:00')",-9.99983984665e-09
"('spill_Shasta.2010-10-31 00:00:00', 'flow_Shasta.2010-10-31 00:00:00')",-9.9998396964e-09
"('flow_Shasta.2010-10-31 00:00:00', 'stor_Keswick.2010-10-31 00:00:00')",14.6784337667
"('INFLOW.2010-10-31 00:00:00', 'stor_Keswick.2010-10-31 00:00:00')",9.99758708765e-09
"('stor_Keswick.2010-10-31 00:00:00', 'flow_Keswick.2010-10-31 00:00:00')",2.9951293616e-08
"('stor_Keswick.2010-10-31 00:00:00', 'spill_Keswick.2010-10-31 00:00:00')",-9.99983709108e-09
"('spill_Keswick.2010-10-31 00:00:00', 'flow_Keswick.2010-10-31 00:00:00')",-9.99983450553e-09
"('flow_Keswick.2010-10-31 00:00:00', 'DELTA.2010-10-31 00:00:00')",1.99514670581e-08
"('INFLOW.2010-10-31 00:00:00', 'stor_Folsom.2010-10-31 00:00:00')",114.180302367
"('stor_Folsom.2010-10-31 00:00:00', 'flow_Folsom.2010-10-31 00:00:00')",5.42732032433
"('stor_Folsom.2010-10-31 00:00:00', 'spill_Folsom.2010-10-31 00:00:00')",-9.99983979669e-09
"('spill_Folsom.2010-10-31 00:00:00', 'flow_Folsom.2010-10-31 00:00:00')",-9.99983974693e-09
"('flow_Folsom.2010-10-31 00:00:00', 'stor_Nimbus.2010-10-31 00:00:00')",5.42732031433
"('INFLOW.2010-10-31 00:00:00', 'stor_Nimbus.2010-10-31 00:00:00')",9.99769043728e-09
"('stor_Nimbus.2010-10-31 00:00:00', 'flow_Nimbus.2010-10-31 00:00:00')",5.30269179442e-11
"('stor_Nimbus.2010-10-31 00:00:00', 'spill_Nimbus.2010-10-31 00:00:00')",-9.99982613621e-09
"('spill_Nimbus.2010-10-31 00:00:00', 'flow_Nimbus.2010-10-31 00:00:00')",-9.99981258397e-09
"('flow_Nimbus.2010-10-31 00:00:00', 'DELTA.2010-10-31 00:00:00')",-9.94674484239e-09
"('INFLOW.2010-10-31 00:00:00', 'stor_New Melones.2010-10-31 00:00:00')",74.6482772421
"('stor_New Melones.2010-10-31 00:00:00', 'flow_New Melones.2010-10-31 00:00:00')",7.69925559318e-12
"('stor_New Melones.2010-10-31 00:00:00', 'spill_New Melones.2010-10-31 00:00:00')",-9.99982820718e-09
"('spill_New Melones.2010-10-31 00:00:00', 'flow_New Melones.2010-10-31 00:00:00')",-9.99981662447e-09
"('flow_New Melones.2010-10-31 00:00:00', 'DELTA.2010-10-31 00:00:00')",-9.99208265429e-09
"('INFLOW.2010-10-31 00:00:00', 'stor_Pine Flat.2010-10-31 00:00:00')",85.3359651999
"('stor_Pine Flat.2010-10-31 00:00:00', 'flow_Pine Flat.2010-10-31 00:00:00')",1.04564766649e-11
"('stor_Pine Flat.2010-10-31 00:00:00', 'spill_Pine Flat.2010-10-31 00:00:00')",-9.99982795502e-09
"('spill_Pine Flat.2010-10-31 00:00:00', 'flow_Pine Flat.2010-10-31 00:00:00')",-9.99981617341e-09
"('flow_Pine Flat.2010-10-31 00:00:00', 'DELTA.2010-10-31 00:00:00')",-9.98932427894e-09
"('SUPERSOURCE', 'INFLOW.2010-11-30 00:00:00')",793.789926043
"('DELTA.2010-11-30 00:00:00', 'SUPERSINK')",2653.68514288
"('INFLOW.2010-11-30 00:00:00', 'stor_Shasta.2010-11-30 00:00:00')",346.376082069
"('stor_Shasta.2010-11-30 00:00:00', 'flow_Shasta.2010-11-30 00:00:00')",2483.76624462
"('stor_Shasta.2010-11-30 00:00:00', 'spill_Shasta.2010-11-30 00:00:00')",-9.99983996861e-09
