link,value
"('INITIAL', 'stor_Shasta.2010-10-31 00:00:00')",2807.46646507
"('INITIAL', 'stor_Keswick.2010-10-31 00:00:00')",14.6784337568
"('INITIAL', 'stor_Folsom.2010-10-31 00:00:00')",601.322410513
"('INITIAL', 'stor_Nimbus.2010-10-31 00:00:00')",5.42732033427
"('INITIAL', 'stor_New Melones.2010-10-31 00:00:00')",1492.51305993
"('INITIAL', 'stor_Pine Flat.2010-10-31 00:00:00')",616.740933867
"('stor_Shasta.2010-10-31 00:00:00', 'stor_Shasta.2010-11-30 00:00:00')",3092.25901303
"('stor_Keswick.2010-10-31 00:00:00', 'stor_Keswick.2010-11-30 00:00:00')",29.3568675136
"('stor_Folsom.2010-10-31 00:00:00', 'stor_Folsom.2010-11-30 00:00:00')",709.187132984
"('stor_Nimbus.2010-10-31 00:00:00', 'stor_Nimbus.2010-11-30 00:00:00')",10.8546406685
"('stor_New Melones.2010-10-31 00:00:00', 'stor_New Melones.2010-11-30 00:00:00')",1566.09869522
"('stor_Pine Flat.2010-10-31 00:00:00', 'stor_Pine Flat.2010-11-30 00:00:00')",701.573304934
"('stor_Shasta.2010-11-30 00:00:00', 'stor_Shasta.2010-12-31 00:00:00')",954.078154149
"('stor_Keswick.2010-11-30 00:00:00', 'stor_Keswick.2010-12-31 00:00:00')",29.3568675136
"('stor_Folsom.2010-11-30 00:00:00', 'stor_Folsom.2010-12-31 00:00:00')",691.634456068
"('stor_Nimbus.2010-11-30 00:00:00', 'stor_Nimbus.2010-12-31 00:00:00')",10.8546406685
"('stor_New Melones.2010-11-30 00:00:00', 'stor_New Melones.2010-12-31 00:00:00')",1639.73213582
"('stor_Pine Flat.2010-11-30 00:00:00', 'stor_Pine Flat.2010-12-31 00:00:00')",920.347975747
"('stor_Shasta.2010-12-31 00:00:00', 'stor_Shasta.2011-01-31 00:00:00')",1177.07028799
"('stor_Keswick.2010-12-31 00:00:00', 'stor_Keswick.2011-01-31 00:00:00')",29.3568675136
"('stor_Folsom.2010-12-31 00:00:00', 'stor_Folsom.2011-01-31 00:00:00')",1202.64482103
"('stor_Nimbus.2010-12-31 00:00:00', 'stor_Nimbus.2011-01-31 00:00:00')",10.8546406685
"('stor_New Melones.2010-12-31 00:00:00', 'stor_New Melones.2011-01-31 00:00:00')",1853.10730381
"('stor_Pine Flat.2010-12-31 00:00:00', 'stor_Pine Flat.2011-01-31 00:00:00')",1233.48186733
"('stor_Shasta.2011-01-31 00:00:00', 'stor_Shasta.2011-02-28 00:00:00')",662.02387388
"('stor_Keswick.2011-01-31 00:00:00', 'stor_Keswick.2011-02-28 00:00:00')",29.3568675136
"('stor_Folsom.2011-01-31 00:00:00', 'stor_Folsom.2011-02-28 00:00:00')",228.428344572
"('stor_Nimbus.2011-01-31 00:00:00', 'stor_Nimbus.2011-02-28 00:00:00')",10.8546406685
"('stor_New Melones.2011-01-31 00:00:00', 'stor_New Melones.2011-02-28 00:00:00')",2006.096324
"('stor_Pine Flat.2011-01-31 00:00:00', 'stor_Pine Flat.2011-02-28 00:00:00')",1233.48186733
"('stor_Shasta.2011-02-28 00:00:00', 'stor_Shasta.2011-03-31 00:00:00')",1314.77317042
"('stor_Keswick.2011-02-28 00:00:00', 'stor_Keswick.2011-03-31 00:00:00')",29.3568675136
"('stor_Folsom.2011-02-28 00:00:00', 'stor_Folsom.2011-03-31 00:00:00')",400.08495197
"('stor_Nimbus.2011-02-28 00:00:00', 'stor_Nimbus.2011-03-31 00:00:00')",10.8546406685
"('stor_New Melones.2011-02-28 00:00:00', 'stor_New Melones.2011-03-31 00:00:00')",2148.14351421
"('stor_Pine Flat.2011-02-28 00:00:00', 'stor_Pine Flat.2011-03-31 00:00:00')",1233.48186733
"('stor_Shasta.2011-03-31 00:00:00', 'stor_Shasta.2011-04-30 00:00:00')",3081.78622292
"('stor_Keswick.2011-03-31 00:00:00', 'stor_Keswick.2011-04-30 00:00:00')",29.3568675136
"('stor_Folsom.2011-03-31 00:00:00', 'stor_Folsom.2011-04-30 00:00:00')",1202.64482103
"('stor_Nimbus.2011-03-31 00:00:00', 'stor_Nimbus.2011-04-30 00:00:00')",10.8546406685
"('stor_New Melones.2011-03-31 00:00:00', 'stor_New Melones.2011-04-30 00:00:00')",2477.20929507
"('stor_Pine Flat.2011-03-31 00:00:00', 'stor_Pine Flat.2011-04-30 00:00:00')",1025.67865525
"('stor_Shasta.2011-04-30 00:00:00', 'stor_Shasta.2011-05-31 00:00:00')",4230.7704846
"('stor_Keswick.2011-04-30 00:00:00', 'stor_Keswick.2011-05-31 00:00:00')",29.3568675136
"('stor_Folsom.2011-04-30 00:00:00', 'stor_Folsom.2011-05-31 00:00:00')",1202.64482103
"('stor_Nimbus.2011-04-30 00:00:00', 'stor_Nimbus.2011-05-31 00:00:00')",10.8546406685
"('stor_New Melones.2011-04-30 00:00:00', 'stor_New Melones.2011-05-31 00:00:00')",2751.95608405
"('stor_Pine Flat.2011-04-30 00:00:00', 'stor_Pine Flat.2011-05-31 00:00:00')",856.300638798
"('stor_Shasta.2011-05-31 00:00:00', 'stor_Shasta.2011-06-30 00:00:00')",5098.76307487
"('stor_Keswick.2011-05-31 00:00:00', 'stor_Keswick.2011-06-30 00:00:00')",29.3568675136
"('stor_Folsom.2011-05-31 00:00:00', 'stor_Folsom.2011-06-30 00:00:00')",1202.64482103
"('stor_Nimbus.2011-05-31 00:00:00', 'stor_Nimbus.2011-06-30 00:00:00')",10.8546406685
"('stor_New Melones.2011-05-31 00:00:00', 'stor_New Melones.2011-06-30 00:00:00')",2985.02611985
"('stor_Pine Flat.2011-05-31 00:00:00', 'stor_Pine Flat.2011-06-30 00:00:00')",849.533261097
"('stor_Shasta.2011-06-30 00:00:00', 'stor_Shasta.2011-07-31 00:00:00')",5614.93293015
"('stor_Keswick.2011-06-30 00:00:00', 'stor_Keswick.2011-07-31 00:00:00')",29.3568675136
"('stor_Folsom.2011-06-30 00:00:00', 'stor_Folsom.2011-07-31 00:00:00')",1202.64482103
